,ARI,CLI,FKGL,GFI,SMOG,complexity,document,fog,length_of_chunk,number_of_chunk
0,17.5,14.68,15.5,13.25,16.3,3,en114417450.txt,17.3279,351,1
6,17.4,14.63,15.5,13.25,16.3,3,en114417450.txt,17.2906,350,1
7,17.6,14.8,15.6,13.5,16.4,3,en114417450.txt,17.4642,300,1
8,17.7,15.03,15.4,13.52,16.4,3,en114417450.txt,17.4911,250,1
9,17.5,14.74,15.5,13.57,16.4,3,en114417450.txt,17.5882,200,1
10,18.4,15.32,15.9,14.42,16.8,3,en114417450.txt,17.9097,150,1
11,16.9,14.28,14.1,14.11,16.0,3,en114417450.txt,17.0098,150,2
12,19.8,16.02,16.5,15.67,17.6,3,en114417450.txt,19.3141,100,1
13,15.1,13.23,13.4,12.6,15.0,3,en114417450.txt,15.698,100,2
14,17.8,14.92,15.6,15.78,16.5,3,en114417450.txt,17.2158,100,3
15,19.4,15.84,16.2,15.58,17.2,3,en114417450.txt,18.9443,75,1
16,17.4,14.74,15.4,14.73,16.3,3,en114417450.txt,16.8233,75,2
17,16.2,13.64,13.9,13.72,15.6,3,en114417450.txt,16.8168,75,3
18,17.6,14.92,15.5,15.96,16.5,3,en114417450.txt,17.2207,75,4
19,19.2,16.08,16.0,15.77,17.2,3,en114417450.txt,18.9132,50,1
20,20.4,16.2,17.0,17.08,18.0,3,en114417450.txt,19.7241,50,2
21,15.2,13.58,13.3,13.65,14.8,3,en114417450.txt,14.7626,50,3
22,15.0,13.0,13.5,12.36,15.2,3,en114417450.txt,16.6143,50,4
23,18.3,16.25,15.1,15.94,16.6,3,en114417450.txt,17.1422,50,5
24,17.4,13.76,15.0,16.53,16.4,3,en114417450.txt,17.3506,50,6
25,16.5,13.64,14.1,14.88,15.6,3,en114417450.txt,16.2151,50,7
26,19.7,16.13,16.3,16.41,17.5,3,en114417450.txt,19.2709,40,1
27,20.1,16.08,16.7,16.98,18.0,3,en114417450.txt,19.8589,40,2
28,18.3,15.67,15.6,15.79,16.9,3,en114417450.txt,17.8069,40,3
29,13.0,11.6,11.5,12.01,13.1,3,en114417450.txt,12.8364,40,4
30,15.7,13.23,13.8,12.76,15.6,3,en114417450.txt,17.4614,40,5
31,18.9,16.6,15.4,16.55,17.1,3,en114417450.txt,17.8344,40,6
32,17.2,13.47,15.0,16.71,15.9,3,en114417450.txt,16.5463,40,7
33,17.4,14.34,14.5,16.67,16.5,3,en114417450.txt,16.9938,40,8
34,19.7,15.79,16.6,16.74,17.4,3,en114417450.txt,19.2365,30,1
35,19.3,16.54,16.9,16.35,17.4,3,en114417450.txt,19.1682,30,2
36,19.3,15.26,16.5,16.89,17.5,3,en114417450.txt,19.1222,30,3
37,19.3,16.31,17.1,16.29,17.7,3,en114417450.txt,18.5565,30,4
38,13.3,11.78,11.7,12.25,13.1,3,en114417450.txt,12.846,30,5
39,14.5,12.89,13.2,14.19,14.9,3,en114417450.txt,15.8816,30,6
40,15.7,12.89,14.0,14.57,15.2,3,en114417450.txt,16.4194,30,7
41,20.0,17.87,16.5,17.36,17.8,3,en114417450.txt,19.1055,30,8
42,16.9,13.76,14.5,16.2,15.6,3,en114417450.txt,16.2874,30,9
43,17.3,13.93,14.7,17.02,16.7,3,en114417450.txt,17.3384,30,10
44,18.0,13.58,15.3,16.51,16.7,3,en114417450.txt,17.1333,30,11
45,19.2,15.27,15.7,16.86,17.0,3,en114417450.txt,18.8248,20,1
46,20.2,17.35,17.0,17.17,18.0,3,en114417450.txt,19.8441,20,2
47,19.1,16.13,17.0,16.81,17.2,3,en114417450.txt,18.9763,20,3
48,21.1,16.26,17.5,18.1,18.7,3,en114417450.txt,20.7555,20,4
49,19.5,15.67,16.5,17.41,17.2,3,en114417450.txt,18.2767,20,5
50,17.2,15.61,14.7,15.53,16.6,3,en114417450.txt,17.436,20,6
51,12.9,12.3,10.9,11.9,13.0,3,en114417450.txt,12.2379,20,7
52,13.2,11.38,12.0,13.17,13.1,3,en114417450.txt,13.4997,20,8
53,15.6,13.41,13.6,15.27,15.7,3,en114417450.txt,17.2406,20,9
54,15.7,13.12,13.9,14.49,15.6,3,en114417450.txt,17.6889,20,10
55,17.5,14.8,14.2,16.3,16.1,3,en114417450.txt,16.3928,20,11
56,20.2,18.28,17.7,17.43,17.9,3,en114417450.txt,19.1917,20,12
57,17.8,13.47,15.4,16.77,15.6,3,en114417450.txt,15.8332,20,13
58,16.7,13.47,14.5,17.31,16.2,3,en114417450.txt,17.2406,20,14
59,17.0,14.68,15.1,17.1,16.5,3,en114417450.txt,17.4516,20,15
60,17.9,13.99,15.0,16.7,16.5,3,en114417450.txt,16.5586,20,16
61,16.6,13.18,14.5,15.88,15.9,3,en114417450.txt,16.9911,20,17
62,19.4,16.08,16.2,18.22,17.6,3,en114417450.txt,19.3845,10,1
63,19.2,14.28,16.2,18.44,16.4,3,en114417450.txt,18.3814,10,2
64,20.8,17.41,17.4,18.5,18.2,3,en114417450.txt,20.128,10,3
65,19.7,17.29,16.6,17.68,17.7,3,en114417450.txt,19.604,10,4
66,17.5,15.96,15.8,16.68,16.0,3,en114417450.txt,17.5273,10,5
67,20.7,16.6,17.0,18.1,18.2,3,en114417450.txt,20.4181,10,6
68,19.8,15.27,17.3,17.69,17.1,3,en114417450.txt,19.1373,10,7
69,22.4,17.18,19.0,19.79,20.2,3,en114417450.txt,22.32,10,8
70,15.1,13.47,13.3,15.07,14.6,3,en114417450.txt,15.4358,10,9
71,23.7,17.59,19.9,20.14,19.6,3,en114417450.txt,20.7791,10,10
72,16.7,15.44,15.7,16.66,16.8,3,en114417450.txt,18.2444,10,11
73,17.7,15.84,14.9,16.23,16.5,3,en114417450.txt,16.5892,10,12
74,12.8,12.64,10.3,12.15,12.8,3,en114417450.txt,11.4,10,13
75,13.0,11.72,11.4,12.83,13.2,3,en114417450.txt,13.0314,10,14
76,14.5,11.32,11.9,14.34,13.3,3,en114417450.txt,14.32,10,15
77,11.9,11.08,10.9,13.15,12.9,3,en114417450.txt,12.8276,10,16
78,12.1,12.06,11.3,12.96,14.3,3,en114417450.txt,17.1604,10,17
79,20.4,14.28,17.0,19.36,17.5,3,en114417450.txt,17.65,10,18
80,13.0,12.71,11.8,13.9,14.4,3,en114417450.txt,16.7881,10,19
81,18.6,13.47,16.2,17.82,16.7,3,en114417450.txt,19.0094,10,20
82,15.5,12.31,13.0,15.33,14.1,3,en114417450.txt,13.6067,10,21
83,19.4,17.06,16.5,18.15,17.7,3,en114417450.txt,18.9333,10,22
84,21.4,17.76,18.1,18.76,18.5,3,en114417450.txt,19.5636,10,23
85,19.4,19.14,16.2,17.55,17.4,3,en114417450.txt,19.2945,10,24
86,15.5,14.21,12.8,15.4,14.4,3,en114417450.txt,14.0856,10,25
87,20.6,13.12,16.9,18.8,16.7,3,en114417450.txt,17.9928,10,26
88,15.7,14.04,14.2,16.57,15.5,3,en114417450.txt,17.2366,10,27
89,18.2,12.95,16.3,18.71,17.0,3,en114417450.txt,17.3345,10,28
90,18.1,13.59,15.8,18.36,16.8,3,en114417450.txt,18.6345,10,29
91,16.5,16.65,14.2,16.25,16.2,3,en114417450.txt,17.2667,10,30
92,17.6,14.51,14.4,16.27,15.4,3,en114417450.txt,14.5867,10,31
93,16.9,13.64,14.5,16.91,16.6,3,en114417450.txt,18.4053,10,32
94,18.2,13.18,15.9,17.88,17.0,3,en114417450.txt,18.3256,10,33
95,15.1,13.29,13.1,14.8,14.7,3,en114417450.txt,15.6846,10,34
96,13.7,13.69,11.7,13.24,13.3,3,en114417450.txt,13.8865,10,35
97,13.1,11.89,11.4,10.12,13.3,3,en119716549.txt,13.4387,1955,1
98,14.3,12.83,12.0,11.28,14.3,3,en119716549.txt,14.9832,1000,1
99,14.7,13.29,13.2,11.55,14.6,3,en119716549.txt,15.3283,750,1
100,12.0,11.02,9.9,10.33,12.4,3,en119716549.txt,12.2498,750,2
101,15.2,13.64,13.3,11.89,14.9,3,en119716549.txt,15.6723,500,1
102,13.4,11.66,11.8,11.6,13.6,3,en119716549.txt,14.2797,500,2
103,11.4,10.91,9.5,10.0,11.9,3,en119716549.txt,11.3366,500,3
104,15.5,13.87,13.5,12.08,15.2,3,en119716549.txt,15.9657,450,1
105,13.4,11.89,11.7,11.6,13.7,3,en119716549.txt,14.3367,450,2
106,12.3,11.08,10.0,10.75,12.5,3,en119716549.txt,12.2319,450,3
107,10.8,10.38,9.1,9.56,11.5,3,en119716549.txt,10.8977,450,4
108,15.9,14.16,13.6,12.23,15.4,3,en119716549.txt,16.3231,400,1
109,13.4,12.01,11.6,11.62,13.6,3,en119716549.txt,14.291,400,2
110,12.8,11.14,10.5,11.38,13.1,3,en119716549.txt,13.0879,400,3
111,10.5,10.32,9.0,9.43,11.3,3,en119716549.txt,10.6116,400,4
112,15.8,13.99,13.6,12.43,15.3,3,en119716549.txt,16.1009,350,1
113,13.6,12.42,11.5,11.81,13.9,3,en119716549.txt,14.5666,350,2
114,13.3,11.55,12.0,11.82,13.5,3,en119716549.txt,14.1163,350,3
115,11.8,11.2,9.6,10.3,12.0,3,en119716549.txt,11.4472,350,4
