,GFI,complexity,document,length_of_chunk,number_of_chunk
0,15.2099,3,en114417450.txt,346,1
7,15.2927,3,en114417450.txt,300,1
8,15.2769,3,en114417450.txt,250,1
9,14.9609,3,en114417450.txt,200,1
10,14.9902,3,en114417450.txt,150,1
11,15.5681,3,en114417450.txt,150,2
12,15.901,3,en114417450.txt,100,1
13,14.0916,3,en114417450.txt,100,2
14,15.8481,3,en114417450.txt,100,3
15,15.6859,3,en114417450.txt,75,1
16,14.3745,3,en114417450.txt,75,2
17,15.3509,3,en114417450.txt,75,3
18,15.7607,3,en114417450.txt,75,4
19,15.875,3,en114417450.txt,50,1
20,15.9313,3,en114417450.txt,50,2
21,13.425,3,en114417450.txt,50,3
22,14.8687,3,en114417450.txt,50,4
23,16.2971,3,en114417450.txt,50,5
24,15.3775,3,en114417450.txt,50,6
25,16.0086,3,en114417450.txt,40,1
26,15.072,3,en114417450.txt,40,2
27,16.552,3,en114417450.txt,40,3
28,11.754,3,en114417450.txt,40,4
29,15.829,3,en114417450.txt,40,5
30,16.6109,3,en114417450.txt,40,6
31,15.2682,3,en114417450.txt,40,7
32,15.1394,3,en114417450.txt,40,8
33,15.3278,3,en114417450.txt,30,1
34,16.6565,3,en114417450.txt,30,2
35,14.651,3,en114417450.txt,30,3
36,16.7,3,en114417450.txt,30,4
37,11.7898,3,en114417450.txt,30,5
38,14.0876,3,en114417450.txt,30,6
39,14.4583,3,en114417450.txt,30,7
40,18.0512,3,en114417450.txt,30,8
41,15.469,3,en114417450.txt,30,9
42,15.1989,3,en114417450.txt,30,10
43,14.6741,3,en114417450.txt,30,11
44,15.4698,3,en114417450.txt,20,1
45,16.663,3,en114417450.txt,20,2
46,16.0818,3,en114417450.txt,20,3
47,13.862,3,en114417450.txt,20,4
48,17.2933,3,en114417450.txt,20,5
49,15.8901,3,en114417450.txt,20,6
50,11.4706,3,en114417450.txt,20,7
51,12.1411,3,en114417450.txt,20,8
52,15.4922,3,en114417450.txt,20,9
53,16.193,3,en114417450.txt,20,10
54,15.4596,3,en114417450.txt,20,11
55,17.6235,3,en114417450.txt,20,12
56,15.2371,3,en114417450.txt,20,13
57,15.3101,3,en114417450.txt,20,14
58,15.5265,3,en114417450.txt,20,15
59,14.8513,3,en114417450.txt,20,16
60,14.0207,3,en114417450.txt,20,17
61,16.1196,3,en114417450.txt,10,1
62,14.9259,3,en114417450.txt,10,2
63,15.3949,3,en114417450.txt,10,3
64,17.673,3,en114417450.txt,10,4
65,15.6552,3,en114417450.txt,10,5
66,16.7929,3,en114417450.txt,10,6
67,13.8722,3,en114417450.txt,10,7
68,13.8566,3,en114417450.txt,10,8
69,16.0606,3,en114417450.txt,10,9
70,18.4762,3,en114417450.txt,10,10
71,17.0506,3,en114417450.txt,10,11
72,14.2365,3,en114417450.txt,10,12
73,9.2414,3,en114417450.txt,10,13
74,13.338,3,en114417450.txt,10,14
75,12.9057,3,en114417450.txt,10,15
76,11.663,3,en114417450.txt,10,16
77,16.6226,3,en114417450.txt,10,17
78,13.9624,3,en114417450.txt,10,18
79,16.3,3,en114417450.txt,10,19
80,16.0333,3,en114417450.txt,10,20
81,11.8571,3,en114417450.txt,10,21
82,19.0443,3,en114417450.txt,10,22
83,18.3415,3,en114417450.txt,10,23
84,17.1456,3,en114417450.txt,10,24
85,14.8143,3,en114417450.txt,10,25
86,15.799,3,en114417450.txt,10,26
87,15.8556,3,en114417450.txt,10,27
88,14.4,3,en114417450.txt,10,28
89,14.5055,3,en114417450.txt,10,29
90,16.4466,3,en114417450.txt,10,30
91,13.4105,3,en114417450.txt,10,31
92,16.0126,3,en114417450.txt,10,32
93,14.2884,3,en114417450.txt,10,33
94,13.893,3,en114417450.txt,10,34
95,12.4105,3,en119716549.txt,1947,1
96,13.682,3,en119716549.txt,1000,1
97,14.0657,3,en119716549.txt,750,1
98,11.36,3,en119716549.txt,750,2
99,14.3889,3,en119716549.txt,500,1
100,12.9496,3,en119716549.txt,500,2
101,10.8099,3,en119716549.txt,500,3
102,14.6929,3,en119716549.txt,450,1
103,13.0372,3,en119716549.txt,450,2
104,11.386,3,en119716549.txt,450,3
105,10.648,3,en119716549.txt,450,4
106,15.007,3,en119716549.txt,400,1
107,13.0432,3,en119716549.txt,400,2
108,11.9526,3,en119716549.txt,400,3
109,10.4755,3,en119716549.txt,400,4
110,14.9291,3,en119716549.txt,350,1
111,13.3181,3,en119716549.txt,350,2
112,12.6165,3,en119716549.txt,350,3
113,10.9667,3,en119716549.txt,350,4
114,10.6469,3,en119716549.txt,350,5
115,14.9832,3,en119716549.txt,300,1
116,13.8535,3,en119716549.txt,300,2
117,12.8027,3,en119716549.txt,300,3
118,11.7388,3,en119716549.txt,300,4
119,10.2495,3,en119716549.txt,300,5
120,11.061,3,en119716549.txt,300,6
121,14.691,3,en119716549.txt,250,1
122,14.1263,3,en119716549.txt,250,2
123,13.3992,3,en119716549.txt,250,3
124,12.5006,3,en119716549.txt,250,4
125,11.5935,3,en119716549.txt,250,5
126,10.0107,3,en119716549.txt,250,6
127,11.1246,3,en119716549.txt,250,7
128,14.6261,3,en119716549.txt,200,1
129,15.4117,3,en119716549.txt,200,2
130,13.1882,3,en119716549.txt,200,3
131,12.9047,3,en119716549.txt,200,4
132,12.2621,3,en119716549.txt,200,5
133,11.6729,3,en119716549.txt,200,6
134,10.682,3,en119716549.txt,200,7
135,10.2638,3,en119716549.txt,200,8
136,11.0287,3,en119716549.txt,200,9
137,14.9101,3,en119716549.txt,150,1
138,15.0995,3,en119716549.txt,150,2
139,14.1481,3,en119716549.txt,150,3
140,13.5376,3,en119716549.txt,150,4
141,12.723,3,en119716549.txt,150,5
142,12.8861,3,en119716549.txt,150,6
143,12.1561,3,en119716549.txt,150,7
144,11.3753,3,en119716549.txt,150,8
145,10.7207,3,en119716549.txt,150,9
146,9.7493,3,en119716549.txt,150,10
147,11.0191,3,en119716549.txt,150,11
148,11.1096,3,en119716549.txt,150,12
149,14.7477,3,en119716549.txt,100,1
150,14.501,3,en119716549.txt,100,2
151,15.7191,3,en119716549.txt,100,3
152,15.1161,3,en119716549.txt,100,4
153,12.0029,3,en119716549.txt,100,5
154,14.5597,3,en119716549.txt,100,6
155,12.5226,3,en119716549.txt,100,7
156,13.3555,3,en119716549.txt,100,8
157,12.5984,3,en119716549.txt,100,9
158,11.9162,3,en119716549.txt,100,10
159,12.0305,3,en119716549.txt,100,11
160,11.3693,3,en119716549.txt,100,12
161,11.1097,3,en119716549.txt,100,13
162,10.2399,3,en119716549.txt,100,14
163,9.306,3,en119716549.txt,100,15
164,11.1387,3,en119716549.txt,100,16
165,11.7445,3,en119716549.txt,100,17
166,10.325,3,en119716549.txt,100,18
167,11.5977,3,en119716549.txt,100,19
168,15.131,3,en119716549.txt,75,1
169,14.6907,3,en119716549.txt,75,2
170,14.3052,3,en119716549.txt,75,3
171,15.8801,3,en119716549.txt,75,4
172,15.3778,3,en119716549.txt,75,5
173,12.928,3,en119716549.txt,75,6
174,12.3154,3,en119716549.txt,75,7
175,14.9307,3,en119716549.txt,75,8
176,12.4771,3,en119716549.txt,75,9
177,13.0213,3,en119716549.txt,75,10
178,12.9412,3,en119716549.txt,75,11
179,12.8734,3,en119716549.txt,75,12
180,12.7701,3,en119716549.txt,75,13
181,11.5171,3,en119716549.txt,75,14
182,11.4545,3,en119716549.txt,75,15
183,11.3347,3,en119716549.txt,75,16
184,11.3806,3,en119716549.txt,75,17
185,10.0551,3,en119716549.txt,75,18
186,10.2193,3,en119716549.txt,75,19
187,9.285,3,en119716549.txt,75,20
188,11.2574,3,en119716549.txt,75,21
189,10.7732,3,en119716549.txt,75,22
190,11.9806,3,en119716549.txt,75,23
191,10.2493,3,en119716549.txt,75,24
192,11.2116,3,en119716549.txt,75,25
193,15.6057,3,en119716549.txt,50,1
194,13.9333,3,en119716549.txt,50,2
195,15.2617,3,en119716549.txt,50,3
196,13.7682,3,en119716549.txt,50,4
197,14.9563,3,en119716549.txt,50,5
198,16.4917,3,en119716549.txt,50,6
199,14.7002,3,en119716549.txt,50,7
200,15.5688,3,en119716549.txt,50,8
201,12.2256,3,en119716549.txt,50,9
202,11.7926,3,en119716549.txt,50,10
203,12.8853,3,en119716549.txt,50,11
204,16.3135,3,en119716549.txt,50,12
205,12.364,3,en119716549.txt,50,13
206,12.7437,3,en119716549.txt,50,14
207,13.2062,3,en119716549.txt,50,15
208,13.4993,3,en119716549.txt,50,16
209,12.3979,3,en119716549.txt,50,17
210,12.8084,3,en119716549.txt,50,18
211,12.5174,3,en119716549.txt,50,19
212,11.2742,3,en119716549.txt,50,20
213,12.6537,3,en119716549.txt,50,21
214,11.4714,3,en119716549.txt,50,22
215,11.1222,3,en119716549.txt,50,23
216,11.6289,3,en119716549.txt,50,24
217,11.343,3,en119716549.txt,50,25
218,10.8696,3,en119716549.txt,50,26
219,9.9062,3,en119716549.txt,50,27
220,10.5653,3,en119716549.txt,50,28
221,9.0192,3,en119716549.txt,50,29
222,9.5488,3,en119716549.txt,50,30
223,11.1277,3,en119716549.txt,50,31
224,11.1549,3,en119716549.txt,50,32
225,10.7867,3,en119716549.txt,50,33
226,12.6815,3,en119716549.txt,50,34
227,9.9146,3,en119716549.txt,50,35
228,10.7571,3,en119716549.txt,50,36
229,10.9844,3,en119716549.txt,50,37
230,12.2197,3,en119716549.txt,50,38
231,16.6847,3,en119716549.txt,40,1
232,13.1804,3,en119716549.txt,40,2
233,14.9741,3,en119716549.txt,40,3
234,15.0265,3,en119716549.txt,40,4
235,13.5132,3,en119716549.txt,40,5
236,14.8682,3,en119716549.txt,40,6
237,17.1749,3,en119716549.txt,40,7
238,14.814,3,en119716549.txt,40,8
239,15.1449,3,en119716549.txt,40,9
240,15.0891,3,en119716549.txt,40,10
241,11.3361,3,en119716549.txt,40,11
242,12.8113,3,en119716549.txt,40,12
243,12.8659,3,en119716549.txt,40,13
244,12.666,3,en119716549.txt,40,14
245,16.5578,3,en119716549.txt,40,15
246,12.1304,3,en119716549.txt,40,16
247,12.4718,3,en119716549.txt,40,17
248,12.7166,3,en119716549.txt,40,18
249,13.508,3,en119716549.txt,40,19
250,13.9384,3,en119716549.txt,40,20
251,12.0295,3,en119716549.txt,40,21
252,13.335,3,en119716549.txt,40,22
253,12.91,3,en119716549.txt,40,23
254,12.1137,3,en119716549.txt,40,24
255,10.8462,3,en119716549.txt,40,25
256,13.1228,3,en119716549.txt,40,26
257,11.7215,3,en119716549.txt,40,27
258,11.1435,3,en119716549.txt,40,28
259,10.9988,3,en119716549.txt,40,29
260,11.6643,3,en119716549.txt,40,30
261,11.2275,3,en119716549.txt,40,31
262,11.6494,3,en119716549.txt,40,32
263,9.2674,3,en119716549.txt,40,33
264,10.8935,3,en119716549.txt,40,34
265,10.4072,3,en119716549.txt,40,35
266,8.9338,3,en119716549.txt,40,36
267,8.9143,3,en119716549.txt,40,37
268,11.2014,3,en119716549.txt,40,38
269,10.8646,3,en119716549.txt,40,39
270,11.0524,3,en119716549.txt,40,40
271,11.0065,3,en119716549.txt,40,41
272,12.0812,3,en119716549.txt,40,42
273,11.4741,3,en119716549.txt,40,43
274,9.9594,3,en119716549.txt,40,44
275,10.8585,3,en119716549.txt,40,45
276,10.9506,3,en119716549.txt,40,46
277,11.8949,3,en119716549.txt,40,47
278,11.9265,3,en119716549.txt,40,48
279,16.9272,3,en119716549.txt,30,1
280,14.8647,3,en119716549.txt,30,2
281,13.3308,3,en119716549.txt,30,3
282,14.6507,3,en119716549.txt,30,4
283,15.1455,3,en119716549.txt,30,5
284,13.7006,3,en119716549.txt,30,6
285,14.2299,3,en119716549.txt,30,7
286,14.9636,3,en119716549.txt,30,8
287,16.9461,3,en119716549.txt,30,9
288,15.6627,3,en119716549.txt,30,10
289,14.5152,3,en119716549.txt,30,11
290,15.8347,3,en119716549.txt,30,12
291,16.4618,3,en119716549.txt,30,13
292,10.6968,3,en119716549.txt,30,14
293,13.2172,3,en119716549.txt,30,15
294,11.7837,3,en119716549.txt,30,16
295,12.4785,3,en119716549.txt,30,17
296,12.7006,3,en119716549.txt,30,18
297,13.8182,3,en119716549.txt,30,19
298,17.3739,3,en119716549.txt,30,20
299,13.0473,3,en119716549.txt,30,21
300,12.5366,3,en119716549.txt,30,22
301,10.5151,3,en119716549.txt,30,23
302,13.8745,3,en119716549.txt,30,24
303,14.0669,3,en119716549.txt,30,25
304,13.2978,3,en119716549.txt,30,26
305,13.4845,3,en119716549.txt,30,27
306,11.8377,3,en119716549.txt,30,28
307,14.183,3,en119716549.txt,30,29
308,11.7109,3,en119716549.txt,30,30
309,13.0189,3,en119716549.txt,30,31
310,12.2483,3,en119716549.txt,30,32
311,11.4887,3,en119716549.txt,30,33
312,11.7198,3,en119716549.txt,30,34
313,12.2712,3,en119716549.txt,30,35
314,11.979,3,en119716549.txt,30,36
