,GFI,complexity,document,length_of_chunk,number_of_chunk
0,16.1014,3,en114417450.txt,401,1
5,16.0625,3,en114417450.txt,400,1
6,16.176,3,en114417450.txt,350,1
7,16.1669,3,en114417450.txt,300,1
8,16.1049,3,en114417450.txt,250,1
9,16.4517,3,en114417450.txt,200,1
10,15.6645,3,en114417450.txt,200,2
11,17.1798,3,en114417450.txt,150,1
12,15.1004,3,en114417450.txt,150,2
13,17.8212,3,en114417450.txt,100,1
14,14.9659,3,en114417450.txt,100,2
15,15.5825,3,en114417450.txt,100,3
16,15.7477,3,en114417450.txt,100,4
17,18.6179,3,en114417450.txt,75,1
18,15.7628,3,en114417450.txt,75,2
19,14.7777,3,en114417450.txt,75,3
20,15.4643,3,en114417450.txt,75,4
21,15.6664,3,en114417450.txt,75,5
22,18.7739,3,en114417450.txt,50,1
23,16.8571,3,en114417450.txt,50,2
24,15.8392,3,en114417450.txt,50,3
25,14.1273,3,en114417450.txt,50,4
26,14.647,3,en114417450.txt,50,5
27,16.4805,3,en114417450.txt,50,6
28,16.2307,3,en114417450.txt,50,7
29,15.2542,3,en114417450.txt,50,8
30,18.9972,3,en114417450.txt,40,1
31,18.2716,3,en114417450.txt,40,2
32,16.3622,3,en114417450.txt,40,3
33,13.9736,3,en114417450.txt,40,4
34,14.2259,3,en114417450.txt,40,5
35,14.5837,3,en114417450.txt,40,6
36,16.676,3,en114417450.txt,40,7
37,16.4907,3,en114417450.txt,40,8
38,15.1267,3,en114417450.txt,40,9
39,15.6628,3,en114417450.txt,40,10
40,19.1962,3,en114417450.txt,30,1
41,18.9924,3,en114417450.txt,30,2
42,16.4795,3,en114417450.txt,30,3
43,16.8782,3,en114417450.txt,30,4
44,14.1884,3,en114417450.txt,30,5
45,13.0151,3,en114417450.txt,30,6
46,15.4228,3,en114417450.txt,30,7
47,14.5247,3,en114417450.txt,30,8
48,16.1419,3,en114417450.txt,30,9
49,16.3835,3,en114417450.txt,30,10
50,17.7032,3,en114417450.txt,30,11
51,14.0868,3,en114417450.txt,30,12
52,16.2194,3,en114417450.txt,30,13
53,19.1973,3,en114417450.txt,20,1
54,19.113,3,en114417450.txt,20,2
55,19.1572,3,en114417450.txt,20,3
56,17.3462,3,en114417450.txt,20,4
57,14.7337,3,en114417450.txt,20,5
58,18.1236,3,en114417450.txt,20,6
59,16.0013,3,en114417450.txt,20,7
60,11.6365,3,en114417450.txt,20,8
61,12.6282,3,en114417450.txt,20,9
62,15.7333,3,en114417450.txt,20,10
63,15.537,3,en114417450.txt,20,11
64,13.594,3,en114417450.txt,20,12
65,15.5365,3,en114417450.txt,20,13
66,17.738,3,en114417450.txt,20,14
67,15.7112,3,en114417450.txt,20,15
68,17.2406,3,en114417450.txt,20,16
69,15.9051,3,en114417450.txt,20,17
70,14.3113,3,en114417450.txt,20,18
71,16.4809,3,en114417450.txt,20,19
72,14.8062,3,en114417450.txt,20,20
73,20.7367,3,en114417450.txt,10,1
74,17.5754,3,en114417450.txt,10,2
75,19.4361,3,en114417450.txt,10,3
76,18.8574,3,en114417450.txt,10,4
77,17.898,3,en114417450.txt,10,5
78,20.3825,3,en114417450.txt,10,6
79,18.2201,3,en114417450.txt,10,7
80,16.5892,3,en114417450.txt,10,8
81,16.8371,3,en114417450.txt,10,9
82,14.0991,3,en114417450.txt,10,10
83,17.118,3,en114417450.txt,10,11
84,19.1108,3,en114417450.txt,10,12
85,17.7626,3,en114417450.txt,10,13
86,14.4844,3,en114417450.txt,10,14
87,9.5446,3,en114417450.txt,10,15
88,13.763,3,en114417450.txt,10,16
89,14.7077,3,en114417450.txt,10,17
90,11.0415,3,en114417450.txt,10,18
91,15.109,3,en114417450.txt,10,19
92,16.817,3,en114417450.txt,10,20
93,14.7836,3,en114417450.txt,10,21
94,16.2608,3,en114417450.txt,10,22
95,15.4869,3,en114417450.txt,10,23
96,11.4704,3,en114417450.txt,10,24
97,14.9668,3,en114417450.txt,10,25
98,16.1967,3,en114417450.txt,10,26
99,17.3586,3,en114417450.txt,10,27
100,18.305,3,en114417450.txt,10,28
101,14.15,3,en114417450.txt,10,29
102,17.9928,3,en114417450.txt,10,30
103,18.5903,3,en114417450.txt,10,31
104,15.8105,3,en114417450.txt,10,32
105,18.6345,3,en114417450.txt,10,33
106,14.2115,3,en114417450.txt,10,34
107,15.3544,3,en114417450.txt,10,35
108,13.5133,3,en114417450.txt,10,36
109,15.626,3,en114417450.txt,10,37
110,17.6297,3,en114417450.txt,10,38
111,15.6846,3,en114417450.txt,10,39
112,13.8865,3,en114417450.txt,10,40
113,11.8481,4,en114417450.txt,401,1
118,11.8106,4,en114417450.txt,400,1
119,11.9166,4,en114417450.txt,350,1
120,11.9524,4,en114417450.txt,300,1
121,11.8845,4,en114417450.txt,250,1
122,12.0471,4,en114417450.txt,200,1
123,11.571,4,en114417450.txt,200,2
124,12.5029,4,en114417450.txt,150,1
125,11.384,4,en114417450.txt,150,2
126,12.8447,4,en114417450.txt,100,1
127,11.2265,4,en114417450.txt,100,2
128,11.7684,4,en114417450.txt,100,3
129,11.3826,4,en114417450.txt,100,4
130,13.8418,4,en114417450.txt,75,1
131,11.2253,4,en114417450.txt,75,2
132,11.1185,4,en114417450.txt,75,3
133,11.6867,4,en114417450.txt,75,4
134,11.2422,4,en114417450.txt,75,5
135,14.0626,4,en114417450.txt,50,1
136,11.5591,4,en114417450.txt,50,2
137,11.8716,4,en114417450.txt,50,3
138,10.6082,4,en114417450.txt,50,4
139,11.2241,4,en114417450.txt,50,5
140,12.2957,4,en114417450.txt,50,6
141,11.7038,4,en114417450.txt,50,7
142,11.0558,4,en114417450.txt,50,8
143,14.0114,4,en114417450.txt,40,1
144,13.4475,4,en114417450.txt,40,2
145,12.0144,4,en114417450.txt,40,3
146,10.0917,4,en114417450.txt,40,4
147,10.5761,4,en114417450.txt,40,5
148,11.0586,4,en114417450.txt,40,6
149,12.2488,4,en114417450.txt,40,7
150,12.6092,4,en114417450.txt,40,8
151,10.9328,4,en114417450.txt,40,9
152,11.1768,4,en114417450.txt,40,10
153,14.4763,4,en114417450.txt,30,1
154,13.8825,4,en114417450.txt,30,2
155,10.8332,4,en114417450.txt,30,3
156,13.2527,4,en114417450.txt,30,4
157,9.9399,4,en114417450.txt,30,5
158,10.3617,4,en114417450.txt,30,6
159,11.144,4,en114417450.txt,30,7
160,10.9118,4,en114417450.txt,30,8
161,11.7658,4,en114417450.txt,30,9
162,12.7088,4,en114417450.txt,30,10
163,13.1863,4,en114417450.txt,30,11
164,10.1967,4,en114417450.txt,30,12
165,11.5696,4,en114417450.txt,30,13
166,14.5273,4,en114417450.txt,20,1
167,13.7217,4,en114417450.txt,20,2
168,14.4285,4,en114417450.txt,20,3
169,12.4192,4,en114417450.txt,20,4
170,9.273,4,en114417450.txt,20,5
171,14.4426,4,en114417450.txt,20,6
172,11.8494,4,en114417450.txt,20,7
173,8.0922,4,en114417450.txt,20,8
174,10.1729,4,en114417450.txt,20,9
175,10.9714,4,en114417450.txt,20,10
176,11.3265,4,en114417450.txt,20,11
177,10.787,4,en114417450.txt,20,12
178,11.1911,4,en114417450.txt,20,13
179,13.2404,4,en114417450.txt,20,14
180,12.4061,4,en114417450.txt,20,15
181,12.8224,4,en114417450.txt,20,16
182,11.1992,4,en114417450.txt,20,17
183,10.7056,4,en114417450.txt,20,18
184,11.4589,4,en114417450.txt,20,19
185,10.9256,4,en114417450.txt,20,20
186,15.1158,4,en114417450.txt,10,1
187,13.9263,4,en114417450.txt,10,2
188,14.5974,4,en114417450.txt,10,3
