,GFI,complexity,document,length_of_chunk,number_of_chunk
0,12.3654,3,osmosis/124007948.txt,48,1
9,11.7742,3,osmosis/124007948.txt,45,1
10,11.9033,3,osmosis/124007948.txt,40,1
11,11.4987,3,osmosis/124007948.txt,35,1
12,11.3481,3,osmosis/124007948.txt,30,1
13,11.7423,3,osmosis/124007948.txt,28,1
14,11.9922,3,osmosis/124007948.txt,26,1
15,12.0145,3,osmosis/124007948.txt,24,1
16,12.7091,3,osmosis/124007948.txt,24,2
17,12.3763,3,osmosis/124007948.txt,22,1
18,11.083,3,osmosis/124007948.txt,22,2
19,12.9806,3,osmosis/124007948.txt,20,1
20,10.7531,3,osmosis/124007948.txt,20,2
21,13.507,3,osmosis/124007948.txt,18,1
22,9.5944,3,osmosis/124007948.txt,18,2
23,13.7315,3,osmosis/124007948.txt,16,1
24,8.1657,3,osmosis/124007948.txt,16,2
25,14.495,3,osmosis/124007948.txt,16,3
26,14.6664,3,osmosis/124007948.txt,14,1
27,8.1513,3,osmosis/124007948.txt,14,2
28,11.8105,3,osmosis/124007948.txt,14,3
29,15.3647,3,osmosis/124007948.txt,12,1
30,7.7983,3,osmosis/124007948.txt,12,2
31,10.9697,3,osmosis/124007948.txt,12,3
32,14.2802,3,osmosis/124007948.txt,12,4
33,16.3412,3,osmosis/124007948.txt,10,1
34,8.893,3,osmosis/124007948.txt,10,2
35,7.4491,3,osmosis/124007948.txt,10,3
36,13.5268,3,osmosis/124007948.txt,10,4
37,9.7861,4,osmosis/124007948.txt,48,1
46,9.2772,4,osmosis/124007948.txt,45,1
47,9.4585,4,osmosis/124007948.txt,40,1
48,9.2664,4,osmosis/124007948.txt,35,1
49,9.0519,4,osmosis/124007948.txt,30,1
50,9.3622,4,osmosis/124007948.txt,28,1
51,9.6582,4,osmosis/124007948.txt,26,1
52,9.8406,4,osmosis/124007948.txt,24,1
53,9.7461,4,osmosis/124007948.txt,24,2
54,10.0507,4,osmosis/124007948.txt,22,1
55,8.4095,4,osmosis/124007948.txt,22,2
56,10.7003,4,osmosis/124007948.txt,20,1
57,8.1094,4,osmosis/124007948.txt,20,2
58,11.058,4,osmosis/124007948.txt,18,1
59,7.2333,4,osmosis/124007948.txt,18,2
60,11.3719,4,osmosis/124007948.txt,16,1
61,5.9331,4,osmosis/124007948.txt,16,2
62,11.5083,4,osmosis/124007948.txt,16,3
63,12.1363,4,osmosis/124007948.txt,14,1
64,6.0349,4,osmosis/124007948.txt,14,2
65,9.2541,4,osmosis/124007948.txt,14,3
66,12.7157,4,osmosis/124007948.txt,12,1
67,6.5325,4,osmosis/124007948.txt,12,2
68,8.0606,4,osmosis/124007948.txt,12,3
69,11.2727,4,osmosis/124007948.txt,12,4
70,13.4108,4,osmosis/124007948.txt,10,1
71,7.8119,4,osmosis/124007948.txt,10,2
72,5.0961,4,osmosis/124007948.txt,10,3
73,10.7321,4,osmosis/124007948.txt,10,4
74,8.0947,5,osmosis/124007948.txt,48,1
83,7.5965,5,osmosis/124007948.txt,45,1
84,7.8981,5,osmosis/124007948.txt,40,1
85,7.7581,5,osmosis/124007948.txt,35,1
86,7.4222,5,osmosis/124007948.txt,30,1
87,7.6732,5,osmosis/124007948.txt,28,1
88,7.8876,5,osmosis/124007948.txt,26,1
89,7.9275,5,osmosis/124007948.txt,24,1
90,8.2646,5,osmosis/124007948.txt,24,2
91,8.0973,5,osmosis/124007948.txt,22,1
92,7.1756,5,osmosis/124007948.txt,22,2
93,8.705,5,osmosis/124007948.txt,20,1
94,7.0749,5,osmosis/124007948.txt,20,2
95,9.0172,5,osmosis/124007948.txt,18,1
96,6.4,5,osmosis/124007948.txt,18,2
97,9.2371,5,osmosis/124007948.txt,16,1
98,5.375,5,osmosis/124007948.txt,16,2
99,9.5883,5,osmosis/124007948.txt,16,3
100,9.8472,5,osmosis/124007948.txt,14,1
101,5.4,5,osmosis/124007948.txt,14,2
102,7.7504,5,osmosis/124007948.txt,14,3
103,10.464,5,osmosis/124007948.txt,12,1
104,5.2667,5,osmosis/124007948.txt,12,2
105,7.3333,5,osmosis/124007948.txt,12,3
106,9.1674,5,osmosis/124007948.txt,12,4
107,11.3596,5,osmosis/124007948.txt,10,1
108,5.92,5,osmosis/124007948.txt,10,2
109,4.76,5,osmosis/124007948.txt,10,3
110,9.3347,5,osmosis/124007948.txt,10,4
111,15.1661,3,osmosis/124006584x.txt,52,1
119,15.4114,3,osmosis/124006584x.txt,50,1
120,15.2028,3,osmosis/124006584x.txt,45,1
121,14.8775,3,osmosis/124006584x.txt,40,1
122,15.2613,3,osmosis/124006584x.txt,35,1
123,15.5095,3,osmosis/124006584x.txt,30,1
124,15.6835,3,osmosis/124006584x.txt,28,1
125,15.765,3,osmosis/124006584x.txt,26,1
126,14.5803,3,osmosis/124006584x.txt,26,2
127,15.8977,3,osmosis/124006584x.txt,24,1
128,14.3523,3,osmosis/124006584x.txt,24,2
129,15.8754,3,osmosis/124006584x.txt,22,1
130,14.2968,3,osmosis/124006584x.txt,22,2
131,16.3174,3,osmosis/124006584x.txt,20,1
132,13.3136,3,osmosis/124006584x.txt,20,2
133,17.1678,3,osmosis/124006584x.txt,18,1
134,13.3033,3,osmosis/124006584x.txt,18,2
135,17.9565,3,osmosis/124006584x.txt,16,1
136,12.3182,3,osmosis/124006584x.txt,16,2
137,14.7756,3,osmosis/124006584x.txt,16,3
138,19.0242,3,osmosis/124006584x.txt,14,1
139,11.6735,3,osmosis/124006584x.txt,14,2
140,13.4342,3,osmosis/124006584x.txt,14,3
141,20.5445,3,osmosis/124006584x.txt,12,1
142,9.9123,3,osmosis/124006584x.txt,12,2
143,14.1583,3,osmosis/124006584x.txt,12,3
144,14.6138,3,osmosis/124006584x.txt,12,4
145,22.86,3,osmosis/124006584x.txt,10,1
146,7.2369,3,osmosis/124006584x.txt,10,2
147,13.8,3,osmosis/124006584x.txt,10,3
148,12.9557,3,osmosis/124006584x.txt,10,4
149,18.1515,3,osmosis/124006584x.txt,10,5
150,12.3497,4,osmosis/124006584x.txt,52,1
158,12.5566,4,osmosis/124006584x.txt,50,1
159,12.1229,4,osmosis/124006584x.txt,45,1
160,11.8663,4,osmosis/124006584x.txt,40,1
161,12.1278,4,osmosis/124006584x.txt,35,1
162,12.3678,4,osmosis/124006584x.txt,30,1
163,12.5886,4,osmosis/124006584x.txt,28,1
164,12.5701,4,osmosis/124006584x.txt,26,1
165,12.1351,4,osmosis/124006584x.txt,26,2
166,12.6785,4,osmosis/124006584x.txt,24,1
167,11.8206,4,osmosis/124006584x.txt,24,2
168,12.6055,4,osmosis/124006584x.txt,22,1
169,11.4397,4,osmosis/124006584x.txt,22,2
170,12.7928,4,osmosis/124006584x.txt,20,1
171,10.9256,4,osmosis/124006584x.txt,20,2
172,13.5934,4,osmosis/124006584x.txt,18,1
173,10.8168,4,osmosis/124006584x.txt,18,2
174,14.4508,4,osmosis/124006584x.txt,16,1
175,9.6692,4,osmosis/124006584x.txt,16,2
176,12.4167,4,osmosis/124006584x.txt,16,3
177,15.3878,4,osmosis/124006584x.txt,14,1
178,9.4263,4,osmosis/124006584x.txt,14,2
179,10.6755,4,osmosis/124006584x.txt,14,3
180,16.7882,4,osmosis/124006584x.txt,12,1
181,7.807,4,osmosis/124006584x.txt,12,2
182,11.3458,4,osmosis/124006584x.txt,12,3
183,12.3242,4,osmosis/124006584x.txt,12,4
184,19.0058,4,osmosis/124006584x.txt,10,1
185,4.9292,4,osmosis/124006584x.txt,10,2
186,11.4889,4,osmosis/124006584x.txt,10,3
187,10.4698,4,osmosis/124006584x.txt,10,4
188,15.7025,4,osmosis/124006584x.txt,10,5
189,10.0395,5,osmosis/124006584x.txt,52,1
197,10.1884,5,osmosis/124006584x.txt,50,1
198,9.582,5,osmosis/124006584x.txt,45,1
199,9.2596,5,osmosis/124006584x.txt,40,1
200,9.6799,5,osmosis/124006584x.txt,35,1
201,9.8433,5,osmosis/124006584x.txt,30,1
202,10.1361,5,osmosis/124006584x.txt,28,1
203,9.9503,5,osmosis/124006584x.txt,26,1
204,10.1289,5,osmosis/124006584x.txt,26,2
205,10.0758,5,osmosis/124006584x.txt,24,1
206,9.5783,5,osmosis/124006584x.txt,24,2
207,9.9439,5,osmosis/124006584x.txt,22,1
208,9.154,5,osmosis/124006584x.txt,22,2
209,10.1698,5,osmosis/124006584x.txt,20,1
210,8.3385,5,osmosis/124006584x.txt,20,2
211,10.87,5,osmosis/124006584x.txt,18,1
212,8.5465,5,osmosis/124006584x.txt,18,2
213,11.5744,5,osmosis/124006584x.txt,16,1
214,7.8149,5,osmosis/124006584x.txt,16,2
215,10.0577,5,osmosis/124006584x.txt,16,3
216,12.4213,5,osmosis/124006584x.txt,14,1
217,7.7784,5,osmosis/124006584x.txt,14,2
218,7.7637,5,osmosis/124006584x.txt,14,3
219,13.6409,5,osmosis/124006584x.txt,12,1
220,6.3333,5,osmosis/124006584x.txt,12,2
221,9.0021,5,osmosis/124006584x.txt,12,3
222,10.1694,5,osmosis/124006584x.txt,12,4
223,15.8808,5,osmosis/124006584x.txt,10,1
224,4.16,5,osmosis/124006584x.txt,10,2
225,9.1778,5,osmosis/124006584x.txt,10,3
226,7.532,5,osmosis/124006584x.txt,10,4
227,13.9532,5,osmosis/124006584x.txt,10,5
228,15.5049,3,osmosis/124006331y.txt,50,1
237,15.4505,3,osmosis/124006331y.txt,45,1
238,15.3186,3,osmosis/124006331y.txt,40,1
239,15.7378,3,osmosis/124006331y.txt,35,1
240,15.8772,3,osmosis/124006331y.txt,30,1
241,16.103,3,osmosis/124006331y.txt,28,1
242,16.3439,3,osmosis/124006331y.txt,26,1
243,16.4692,3,osmosis/124006331y.txt,24,1
244,15.059,3,osmosis/124006331y.txt,24,2
245,16.6758,3,osmosis/124006331y.txt,22,1
246,14.3633,3,osmosis/124006331y.txt,22,2
247,16.7156,3,osmosis/124006331y.txt,20,1
248,13.8286,3,osmosis/124006331y.txt,20,2
249,17.2758,3,osmosis/124006331y.txt,18,1
250,13.9181,3,osmosis/124006331y.txt,18,2
251,18.3347,3,osmosis/124006331y.txt,16,1
252,12.5787,3,osmosis/124006331y.txt,16,2
253,16.0376,3,osmosis/124006331y.txt,16,3
254,19.3896,3,osmosis/124006331y.txt,14,1
255,12.284,3,osmosis/124006331y.txt,14,2
256,14.2017,3,osmosis/124006331y.txt,14,3
257,20.8369,3,osmosis/124006331y.txt,12,1
258,11.1641,3,osmosis/124006331y.txt,12,2
259,14.0171,3,osmosis/124006331y.txt,12,3
260,16.4406,3,osmosis/124006331y.txt,12,4
261,22.9636,3,osmosis/124006331y.txt,10,1
262,8.3103,3,osmosis/124006331y.txt,10,2
263,14.0889,3,osmosis/124006331y.txt,10,3
264,13.5881,3,osmosis/124006331y.txt,10,4
265,16.7452,3,osmosis/124006331y.txt,10,5
266,12.6772,4,osmosis/124006331y.txt,50,1
275,12.5414,4,osmosis/124006331y.txt,45,1
276,12.3005,4,osmosis/124006331y.txt,40,1
277,12.6319,4,osmosis/124006331y.txt,35,1
278,12.6966,4,osmosis/124006331y.txt,30,1
279,12.9391,4,osmosis/124006331y.txt,28,1
280,13.2262,4,osmosis/124006331y.txt,26,1
281,13.2486,4,osmosis/124006331y.txt,24,1
282,12.5549,4,osmosis/124006331y.txt,24,2
283,13.4288,4,osmosis/124006331y.txt,22,1
284,11.718,4,osmosis/124006331y.txt,22,2
285,13.4142,4,osmosis/124006331y.txt,20,1
286,11.1619,4,osmosis/124006331y.txt,20,2
