,complexity,length_of_chunk,std,variance
0,3,300,0.0,0.0
1,3,250,0.0,0.0
2,3,200,0.0,0.0
3,3,150,0.3542999999999985,0.12552848999999894
4,3,100,1.4626049113368473,2.1392131266666667
5,3,75,1.1306873603587335,1.2784539068750005
6,3,50,1.6672720901220652,2.7797962225
7,3,40,2.0115689370721928,4.046409588593751
8,3,30,1.8534187268017723,3.4351609768595024
9,3,20,2.041380927681826,4.1672360919031135
10,3,10,2.615788122722438,6.842347502975778
11,4,300,0.0,0.0
12,4,250,0.0,0.0
13,4,200,0.0,0.0
14,4,150,0.16020000000000056,0.02566404000000018
15,4,100,1.0517188597719442,1.1061125599999986
16,4,75,0.7256602062949298,0.526582735
17,4,50,1.2730716062823106,1.6207113147222225
18,4,40,1.4444298225748977,2.0863775123437502
19,4,30,1.3465029989256252,1.8130703261157024
20,4,20,1.5774818986672516,2.488449140622837
21,4,10,2.076833437327458,4.3132371264013845
22,5,300,0.0,0.0
23,5,250,0.0,0.0
24,5,200,0.0,0.0
25,5,150,0.0011499999999999844,1.322499999999964e-06
26,5,100,0.7479921256270015,0.55949222
27,5,75,0.72618559740262,0.5273455218750001
28,5,50,1.1520115924619279,1.3271307091666669
29,5,40,1.269654693644595,1.6120230410937504
30,5,30,0.9692161673271164,0.9393799790082649
31,5,20,1.4063806058011832,1.977906408373703
32,5,10,1.9403855970664097,3.7650962653027675
33,3,1000,0.0,0.0
34,3,750,1.5626000000000007,2.4417187600000023
35,3,500,1.8128293705328877,3.286350326666666
36,3,450,1.9456553728756794,3.7855748299999985
37,3,400,2.0619347714889034,4.251575001874997
38,3,350,2.005799322963292,4.023230924000002
39,3,300,2.045212572488901,4.182894466666667
40,3,250,2.022349877781603,4.0898990281632654
41,3,200,2.0800946959094477,4.326793943950618
42,3,150,2.085612409794516,4.349779123888887
43,3,100,2.1540348519031203,4.639866143213297
44,3,75,2.1562632883170827,4.649471368543999
45,3,50,2.2560042597370074,5.0895552199515235
46,3,40,2.272355486236472,5.163599455828993
47,3,30,2.413710469994068,5.825998232958985
48,3,20,2.5032575075408063,6.266298149059411
49,3,10,2.860028471924526,8.179762860218938
50,4,1000,0.0,0.0
51,4,750,1.0381,1.07765161
52,4,500,1.2849488740369746,1.6510936088888888
53,4,450,1.4056791265701434,1.975933806875001
54,4,400,1.427054305860502,2.0364839918749995
55,4,350,1.480578856258592,2.1921137496000003
56,4,300,1.4370292574149863,2.065053086666667
57,4,250,1.4721990906290423,2.167370162448979
58,4,200,1.4946443489594918,2.233961729876543
59,4,150,1.5376285005695909,2.364301405763888
60,4,100,1.5537252934947763,2.4140622876454287
61,4,75,1.5810334771610626,2.4996668559040005
62,4,50,1.657289429275767,2.7466082523891973
63,4,40,1.6741561713417499,2.8027988860416664
64,4,30,1.7812144955123843,3.1727250790234374
65,4,20,1.8582901603287074,3.453242319974493
66,4,10,2.168772340157955,4.7035734634342115
67,5,1000,0.0,0.0
68,5,750,0.7218999999999998,0.5211396099999996
69,5,500,0.9510463442382233,0.9044891488888891
70,5,450,1.0512480998793767,1.1051225675000003
71,5,400,1.0701490527024728,1.145218995
72,5,350,1.1463394017480162,1.3140940239999999
73,5,300,1.0902275496427338,1.1885961099999995
74,5,250,1.1613206690344104,1.3486656963265309
75,5,200,1.145108848780567,1.3112742755555555
76,5,150,1.17801933944109,1.3877295640972223
77,5,100,1.1825517141889827,1.3984285567313017
78,5,75,1.2034413235118693,1.4482710191359995
79,5,50,1.279943964994144,1.6382565535249307
80,5,40,1.2839191015424436,1.6484482593055556
81,5,30,1.3919337445146778,1.9374795491186525
82,5,20,1.499942989777135,2.2498289725815708
83,5,10,1.7965267797500906,3.2275084703592305
84,3,1000,0.0,0.0
85,3,750,0.0,0.0
86,3,500,0.32430000000000003,0.10517049000000003
87,3,450,0.7992127807341974,0.6387410688888883
88,3,400,1.2552664320993996,1.5756938155555567
89,3,350,0.9255692926818373,0.8566785155555565
90,3,300,0.635105632946205,0.40335916499999974
91,3,250,0.43793155355603236,0.19178404560000004
92,3,200,1.4452127290548686,2.088639832222221
93,3,150,1.3206562518519174,1.7441329355555553
94,3,100,1.5906351679857755,2.5301202376331364
95,3,75,1.8642498983803413,3.4754276836111124
96,3,50,1.99536680350287,3.981488680521261
97,3,40,2.359773029503027,5.568528750769894
98,3,30,2.5603077302793884,6.555175673728394
99,3,20,2.846439246885672,8.102216386211072
100,3,10,3.432479051093214,11.781912436193771
101,4,1000,0.0,0.0
102,4,750,0.0,0.0
103,4,500,0.28754999999999953,0.08268500249999973
104,4,450,0.6220149640929516,0.38690261555555594
105,4,400,0.9043874870135405,0.817916726666667
106,4,350,0.796848330751983,0.6349672622222218
107,4,300,0.5356537238505863,0.28692491187500013
108,4,250,0.4269662843832048,0.1823002079999997
109,4,200,1.3316291771944448,1.7732362655555545
110,4,150,1.2203770410091395,1.4893201222222228
111,4,100,1.7082892561976255,2.9182521828402366
112,4,75,2.0019380058866907,4.00775577941358
113,4,50,2.0765947112424095,4.312245594759945
114,4,40,2.439534824476921,5.951330159835641
115,4,30,2.559048762246541,6.548730567555555
116,4,20,2.8936904818137266,8.373444604539358
117,4,10,3.459179095519391,11.965920014878352
118,5,1000,0.0,0.0
119,5,750,0.0,0.0
120,5,500,0.8166000000000002,0.6668355600000003
121,5,450,0.7849490726580087,0.6161450466666678
122,5,400,0.712696743986451,0.5079366488888889
123,5,350,0.8295798133191686,0.6882026666666666
124,5,300,0.7479408879550574,0.5594155718749998
125,5,250,0.8751574432066493,0.7659005503999996
126,5,200,1.2599517139116436,1.5874783213888881
127,5,150,1.308020016836304,1.7109163644444452
128,5,100,1.9955004222369708,3.982021935147929
129,5,75,2.193676952376737,4.81221857138889
130,5,50,2.325913847031623,5.409875223813445
131,5,40,2.637019834868448,6.9538736094896185
132,5,30,2.766650095207846,7.654352749313582
133,5,20,3.053170406018943,9.321849528189878
134,5,10,3.5563568095501004,12.647673756833369
135,3,750,0.0,0.0
136,3,500,0.0,0.0
137,3,450,0.0,0.0
138,3,400,0.22779999999999934,0.0518928399999997
139,3,350,0.9895000000000005,0.979110250000001
140,3,300,1.4761499999999996,2.179018822499999
141,3,250,1.4873945146538032,2.212342442222223
142,3,200,1.3484005905145546,1.8181841524999998
143,3,150,1.9426962731214577,3.7740688096000015
144,3,100,2.0580868172513402,4.235721347343751
145,3,75,2.3444309145062396,5.496356312892564
146,3,50,2.62488938408557,6.890044278685123
147,3,40,2.6241815539081705,6.8863288278719015
148,3,30,2.845240387324889,8.095392861664685
149,3,20,3.049424774018322,9.298991452396693
150,3,10,3.5154755308281183,12.358568207851238
151,4,750,0.0,0.0
152,4,500,0.0,0.0
153,4,450,0.0,0.0
154,4,400,0.02785000000000082,0.0007756225000000456
155,4,350,0.6545000000000005,0.4283702500000007
156,4,300,1.1383999999999999,1.2959545599999998
157,4,250,1.4382784763583008,2.0686449755555554
158,4,200,1.083675095162291,1.1743517118750009
159,4,150,1.9131643323039451,3.6601977624
160,4,100,1.7696004738005133,3.131485836875001
161,4,75,2.201530253938897,4.846735459008265
162,4,50,2.355777728439835,5.549688705813149
163,4,40,2.415833799652063,5.836252947541323
164,4,30,2.5894239724104997,6.705116508894172
165,4,20,2.838208842937953,8.055429436131195
166,4,10,3.2555116022867994,10.598355792623964
167,5,750,0.0,0.0
168,5,500,0.0,0.0
169,5,450,0.0,0.0
170,5,400,0.036150000000000126,0.001306822500000009
171,5,350,0.4520999999999997,0.20439440999999975
172,5,300,0.8743999999999996,0.7645753599999994
173,5,250,1.140753403092301,1.3013183266666657
174,5,200,0.9291079781166445,0.8632416349999992
175,5,150,1.555953582341067,2.4209915503999997
176,5,100,1.4722734668171369,2.1675891610937508
177,5,75,1.8493264971044359,3.420008492892563
178,5,50,1.9818308632995512,3.927653570726644
179,5,40,2.147503799653168,4.611772569524795
180,5,30,2.246949950409061,5.048784079643282
181,5,20,2.519077377190452,6.345750832272727
182,5,10,2.920243786427671,8.527823772169421
183,3,750,0.0,0.0
184,3,500,0.0,0.0
185,3,450,0.32814999999999905,0.10768242249999938
186,3,400,0.3305000000000007,0.10923025000000045
187,3,350,0.5717999999999996,0.3269552399999996
188,3,300,1.081397618311085,1.1694208088888869
189,3,250,0.8586210689238883,0.7372301400000006
190,3,200,1.8183119525744202,3.3062583568750004
191,3,150,2.136838099271912,4.566077062499998
192,3,100,2.235894643932364,4.999224858765432
193,3,75,2.92248315174309,8.540907772222225
194,3,50,3.1129580324244333,9.6905077116358
195,3,40,3.627450869210092,13.158399808533051
196,3,30,3.9988983317853375,15.991187867955555
197,3,20,4.195241313541384,17.600049678844442
198,3,10,5.096292574481091,25.972198004711107
199,4,750,0.0,0.0
200,4,500,0.0,0.0
201,4,450,0.4070999999999998,0.16573040999999983
202,4,400,0.45809999999999995,0.20985560999999994
203,4,350,0.5766999999999998,0.33258288999999974
204,4,300,1.4008456311179416,1.9623684822222238
205,4,250,1.0869831318327294,1.181532328888889
206,4,200,2.115684653368739,4.476121552500002
207,4,150,2.354757609370631,5.5448833988888895
208,4,100,2.4730675733231036,6.116063222222225
209,4,75,3.0516834968587423,9.312772165
210,4,50,3.213816920259218,10.328619196944445
211,4,40,3.724425193636713,13.871343022995866
212,4,30,4.1033945301001165,16.83784666965556
213,4,20,4.265299842611042,18.192782747377777
214,4,10,5.181321636450551,26.846093900350617
215,5,750,0.0,0.0
216,5,500,0.0,0.0
217,5,450,0.4059499999999998,0.16479540249999985
218,5,400,0.41834999999999933,0.17501672249999944
219,5,350,0.6873499999999995,0.47245002249999923
220,5,300,1.5521471500974238,2.4091607755555544
221,5,250,1.0613230872621002,1.1264066955555554
222,5,200,2.3028132550209106,5.302948887500002
223,5,150,2.4657501391846033,6.079923748888891
224,5,100,2.591648601913938,6.71664247580247
225,5,75,3.1701761676863747,10.050016934166669
226,5,50,3.3383043568619097,11.144275979043208
227,5,40,3.872662272779317,14.997513079008264
228,5,30,4.161688910184849,17.319654585155554
229,5,20,4.399954926241635,19.35960335295803
230,5,10,5.268925129766759,27.76157202308766
231,3,1000,0.0,0.0
232,3,750,0.0,0.0
233,3,500,1.5653500000000005,2.4503206225000014
234,3,450,1.2402500000000005,1.5382200625000013
235,3,400,0.8935999999999993,0.7985209599999987
236,3,350,1.0993423377435967,1.2085535755555563
237,3,300,1.237826086330387,1.5322134200000024
238,3,250,1.7013816863067501,2.8946996425000004
239,3,200,1.7563534421066849,3.0847774136000004
240,3,150,1.9866196227023734,3.94665752530612
241,3,100,2.1308294475886016,4.540434134710744
242,3,75,2.177519774320214,4.741592367555556
243,3,50,2.208281718224705,4.876508147045455
244,3,40,2.194205893367175,4.814539502487244
245,3,30,2.3960930782577115,5.741262039674516
246,3,20,2.7270921463021565,7.437031574422901
247,3,10,3.367238504904914,11.33829514891428
248,4,1000,0.0,0.0
249,4,750,0.0,0.0
250,4,500,1.2744999999999997,1.6243502499999993
251,4,450,1.1868499999999997,1.4086129224999995
252,4,400,0.7492000000000001,0.5613006400000001
253,4,350,0.8989859620705983,0.8081757599999992
254,4,300,0.9492179037970622,0.9010146288888888
255,4,250,1.3303718136295584,1.7698891625000002
256,4,200,1.3152844580546066,1.7299732056000003
257,4,150,1.5308027412612841,2.343357032653062
258,4,100,1.7033890645193093,2.9015343051239673
259,4,75,1.7825373072736015,3.177439251822222
260,4,50,1.840574069694849,3.387712906033059
261,4,40,1.8608327106096882,3.462698376875
262,4,30,2.1876886779271114,4.785981751530472
263,4,20,2.4923647577194035,6.2118820855217
264,4,10,3.0146745211703063,9.088262468593415
265,5,1000,0.0,0.0
266,5,750,0.0,0.0
267,5,500,0.8350499999999998,0.6973085024999998
268,5,450,0.7050999999999998,0.49716600999999977
269,5,400,0.3938499999999996,0.15511782249999967
270,5,350,0.5898862263182623,0.34796576000000007
271,5,300,0.5964341222819348,0.35573366222222197
272,5,250,0.9014543055529769,0.8126198649999998
273,5,200,0.9722750137692524,0.9453187024
274,5,150,1.1018723413965403,1.214122656734694
275,5,100,1.3307260963986405,1.770831943636364
276,5,75,1.4175677025415359,2.0094981912888885
277,5,50,1.4594211568275515,2.1299101129958684
278,5,40,1.598531940451256,2.5553043646428573
279,5,30,1.9269345563816023,3.713076784577562
280,5,20,2.269281380767258,5.149637985096953
281,5,10,2.8817494092731692,8.30447965784626
282,3,1000,0.0,0.0
283,3,750,0.0,0.0
284,3,500,1.7043999999999988,2.904979359999996
285,3,450,1.2690000000000001,1.6103610000000002
286,3,400,0.9120000000000008,0.8317440000000015
287,3,350,1.1944857163929024,1.426796126666665
288,3,300,1.2812608659701843,1.6416294066666666
289,3,250,1.84505585891051,3.4042311224999997
290,3,200,1.933731315979549,3.739316802399999
291,3,150,2.053411462490096,4.216498634285715
292,3,100,2.286752190840549,5.22923558231405
293,3,75,2.289354825564035,5.241145517333331
294,3,50,2.4322938002688836,5.916053130826447
295,3,40,2.272921080653165,5.166170238877551
296,3,30,2.6085599913446726,6.804585228444119
297,3,20,3.0983814737763997,9.599967757040815
298,3,10,3.8093257539216774,14.510962699490955
299,4,1000,0.0,0.0
300,4,750,0.0,0.0
301,4,500,1.3927500000000004,1.9397525625000012
302,4,450,1.20465,1.4511816225
303,4,400,0.7750500000000002,0.6007025025000003
304,4,350,0.9630824033049077,0.9275277155555569
305,4,300,0.9818914581335126,0.9641108355555555
306,4,250,1.451358785759055,2.106442324999999
307,4,200,1.4922617027854066,2.226844989600001
308,4,150,1.5769598259477193,2.4868022926530613
309,4,100,1.8378608958233735,3.3777326723966934
310,4,75,1.9043463121560171,3.6265348766222223
311,4,50,2.057633131489103,4.2338541038016535
312,4,40,1.9454341584947727,3.7847140650382647
313,4,30,2.3892518295383853,5.708524304952521
314,4,20,2.84376448737227,8.08699645963967
315,4,10,3.5424350801882403,12.548846297348264
316,5,1000,0.0,0.0
317,5,750,0.0,0.0
318,5,500,0.9820000000000002,0.9643240000000004
319,5,450,0.7453499999999993,0.555546622499999
320,5,400,0.4140499999999996,0.17143740249999967
321,5,350,0.6756910733957245,0.45655842666666646
322,5,300,0.6574200703423115,0.4322011488888898
323,5,250,1.0553677377459478,1.1138010618749998
324,5,200,1.1864831386918229,1.4077422383999996
325,5,150,1.152406942898565,1.3280417620408165
326,5,100,1.4954553438516798,2.236386685454546
327,5,75,1.5727549713798397,2.4735582000000003
328,5,50,1.7611108460768228,3.1015114121694225
329,5,40,1.7117618030095036,2.930128470242347
330,5,30,2.1417086428457135,4.586915910840029
331,5,20,2.633236817297181,6.933936135969388
332,5,10,3.5235578250859025,12.415459746724096
