,complexity,length_of_chunk,std,variance
0,3,300,0.0,0.0
1,3,250,0.0,0.0
2,3,200,0.0,0.0
3,3,150,0.2889499999999998,0.0834921024999999
4,3,100,0.8407681025242469,0.7068910022222226
5,3,75,0.5522925764483896,0.3050270900000003
6,3,50,0.9513951609201206,0.905152752222222
7,3,40,1.4455700008452552,2.089672627343751
8,3,30,1.5545458479531669,2.4166127933884307
9,3,20,1.5633109537996261,2.4439411382698966
10,3,10,2.0366098223972897,4.14777956868512
11,3,1000,0.0,0.0
12,3,750,1.35285,1.8302031225000004
13,3,500,1.4704172340605306,2.162126842222221
14,3,450,1.5616003047755211,2.4385955118750005
15,3,400,1.6523596405973489,2.7302923818749996
16,3,350,1.572785561480013,2.4736544223999997
17,3,300,1.6221702124177833,2.6314361980555563
18,3,250,1.565866144356157,2.4519367820408173
19,3,200,1.660767483521094,2.7581486343209867
20,3,150,1.6525923045955204,2.7310613252083336
21,3,100,1.7533528669570428,3.0742462760664813
22,3,75,1.7778125844261536,3.1606175853439997
23,3,50,1.8720627580680704,3.5046189701454304
24,3,40,1.9163144549209268,3.672261090138889
25,3,30,2.033041595852458,4.1332581304663085
26,3,20,2.1008760859476574,4.413680328506748
27,3,10,2.5035102677214924,6.267563660586938
28,3,1000,0.0,0.0
29,3,750,0.0,0.0
30,3,500,1.5286999999999997,2.336923689999999
31,3,450,1.719428095488601,2.956432975555557
32,3,400,1.8578745939020387,3.4516980066666654
33,3,350,1.6175748933374163,2.6165485355555536
34,3,300,1.586444292277545,2.5168054925000005
35,3,250,1.642390744494135,2.6974473575999993
36,3,200,1.8696060260118972,3.4954266924999984
37,3,150,1.7917172439372855,3.210250682222222
38,3,100,1.815863662706664,3.297360841538461
39,3,75,1.853782513454952,3.436509607191359
40,3,50,1.9303831302127956,3.726379029410151
41,3,40,2.032702354302056,4.131878861185122
42,3,30,2.106096916614437,4.435644222172839
43,3,20,2.213713257369671,4.90052638585424
44,3,10,2.5325740330007647,6.413931232629758
45,3,750,0.0,0.0
46,3,500,0.0,0.0
47,3,450,0.0,0.0
48,3,400,0.3415500000000007,0.11665640250000048
49,3,350,0.5141499999999999,0.26435022249999984
50,3,300,0.7974499999999995,0.6359265024999993
51,3,250,0.4990439949432208,0.24904490888888942
52,3,200,0.7304413323464111,0.5335445400000001
53,3,150,0.7260516830088608,0.5271510463999992
54,3,100,1.0264019716953006,1.0535010075000004
55,3,75,1.1498493733909685,1.3221535814876029
56,3,50,1.344869108975597,1.8086729202768166
57,3,40,1.3950535768096584,1.9461744821694211
58,3,30,1.5494416067330148,2.4007692926753865
59,3,20,1.7376308946637304,3.0193611260898763
60,3,10,2.2010868036516533,4.8447831172094515
61,3,750,0.0,0.0
62,3,500,0.0,0.0
63,3,450,0.006149999999999878,3.7822499999998495e-05
64,3,400,0.16364999999999963,0.026781322499999878
65,3,350,0.2983500000000001,0.08901272250000007
66,3,300,0.7814943392131656,0.6107334022222224
67,3,250,0.7109824204734052,0.505496002222222
68,3,200,0.9877614397591155,0.9756726618750007
69,3,150,1.1953253136931201,1.428802605555556
70,3,100,1.2650716817635277,1.6004063600000002
71,3,75,1.479865180139356,2.1900009513888885
72,3,50,1.4843421909642476,2.203271739876543
73,3,40,1.5650822179773578,2.449482349028926
74,3,30,1.6306332675238646,2.6589648531555556
75,3,20,1.93497809691371,3.744140235535803
76,3,10,2.5766075765495184,6.638906603532382
77,3,1000,0.0,0.0
78,3,750,0.0,0.0
79,3,500,0.9516999999999998,0.9057328899999996
80,3,450,0.8249500000000003,0.6805425025000005
81,3,400,0.7594500000000002,0.5767643025000002
82,3,350,0.7331429646846964,0.537498606666666
83,3,300,0.691036183326652,0.4775310066666661
84,3,250,1.0537112329760936,1.1103073624999993
85,3,200,1.109468570803157,1.2309205096000002
86,3,150,1.2567702288657485,1.579471408163266
87,3,100,1.3510989783343772,1.8254684492561977
88,3,75,1.4503778637153686,2.103595947555556
89,3,50,1.5049367015669266,2.264834475723141
90,3,40,1.6257686201377148,2.6431236062244894
91,3,30,1.615775121880373,2.6107292444875347
92,3,20,1.976636872449731,3.907093325527854
93,3,10,2.4620981108382023,6.0619271073930445
94,3,1000,0.0,0.0
95,3,750,0.0,0.0
96,3,500,0.9954000000000001,0.9908211600000001
97,3,450,0.8146500000000003,0.6636546225000005
98,3,400,0.76335,0.5827032225
99,3,350,0.7366904686954127,0.5427128466666667
100,3,300,0.6724689484776725,0.45221448666666647
101,3,250,1.09123554830064,1.1907950218749983
102,3,200,1.132912756746962,1.2834913144000009
103,3,150,1.2738532094333601,1.6227019991836722
104,3,100,1.4072822230710866,1.9804432553718996
105,3,75,1.4431061220698758,2.082555279555555
106,3,50,1.5343511131583973,2.354233338450413
107,3,40,1.5723349521240435,2.4722372016709184
108,3,30,1.700750468297072,2.8925521554127096
109,3,20,2.0022727305099446,4.00909608734375
110,3,10,2.5299450493048568,6.400621952502155
