,complexity,length_of_chunk,std,variance
0,3,400,0.0,0.0
1,3,350,0.0,0.0
2,3,300,0.0,0.0
3,3,250,0.0,0.0
4,3,200,0.3935999999999993,0.15492095999999944
5,3,150,1.0396999999999998,1.0809760899999996
6,3,100,1.074785323622816,1.1551634918750011
7,3,75,1.325536059713201,1.757045845599999
8,3,50,1.3521938506899631,1.82842820984375
9,3,40,1.584127403462234,2.5094596303999994
10,3,30,1.787398071178346,3.1947918648520717
11,3,20,2.0451327821134253,4.182568096474999
12,3,10,2.4287210536090282,5.898685956243749
13,4,400,0.0,0.0
14,4,350,0.0,0.0
15,4,300,0.0,0.0
16,4,250,0.0,0.0
17,4,200,0.23805000000000032,0.05666780250000015
18,4,150,0.55945,0.3129843025
19,4,100,0.6315454160232657,0.39884961249999984
20,4,75,1.0281075099424182,1.0570050519999994
21,4,50,0.9838271665255792,0.9679158935937499
22,4,40,1.2087286238440786,1.4610248861
23,4,30,1.4307611871155204,2.047077574556213
24,4,20,1.6796561628797724,2.8212448255000004
25,4,10,2.1742564922520065,4.7273912941
26,5,400,0.0,0.0
27,5,350,0.0,0.0
28,5,300,0.0,0.0
29,5,250,0.0,0.0
30,5,200,0.10320000000000018,0.010650240000000036
31,5,150,0.2895499999999993,0.0838392024999996
32,5,100,0.5005151165299603,0.2505153818749997
33,5,75,0.9623397965375845,0.9260978839999995
34,5,50,0.6685470491109804,0.4469551568749997
35,5,40,1.0502055761135531,1.1029317521
36,5,30,1.3104501103498662,1.7172794917159766
37,5,20,1.3691973399039306,1.8747013555999998
38,5,10,2.0000254056886377,4.0001016234
39,3,1000,1.6707999999999998,2.7915726399999996
40,3,750,1.1411499999999997,1.3022233224999993
41,3,500,1.7892372528189213,3.2013699468750003
42,3,450,1.844759250552765,3.4031366924999995
43,3,400,1.8844591092406329,3.5511861343999995
44,3,350,1.7717144450283806,3.1389720747222225
45,3,300,1.7987491740152122,3.2354985910204084
46,3,250,1.8870208699412285,3.5608477635937508
47,3,200,1.9591435854474781,3.8382435883999997
48,3,150,1.9049352792182217,3.6287784180102043
49,3,100,1.9584225844244327,3.835419019183674
50,3,75,2.0333038527203073,4.134324557487245
51,3,50,2.1464799453865653,4.607376155946712
