,GFI,complexity,document,length_of_chunk,number_of_chunk
0,10.062,3,L1/dhw022_2007_06.txt,34,1
12,9.8833,3,L1/dhw022_2007_06.txt,30,1
13,9.3731,3,L1/dhw022_2007_06.txt,28,1
14,9.4116,3,L1/dhw022_2007_06.txt,26,1
15,9.6408,3,L1/dhw022_2007_06.txt,24,1
16,9.7371,3,L1/dhw022_2007_06.txt,22,1
17,10.0337,3,L1/dhw022_2007_06.txt,20,1
18,9.2837,3,L1/dhw022_2007_06.txt,18,1
19,8.65,3,L1/dhw022_2007_06.txt,16,1
20,11.5557,3,L1/dhw022_2007_06.txt,16,2
21,8.7311,3,L1/dhw022_2007_06.txt,14,1
22,10.1078,3,L1/dhw022_2007_06.txt,14,2
23,8.4842,3,L1/dhw022_2007_06.txt,12,1
24,10.8049,3,L1/dhw022_2007_06.txt,12,2
25,8.689,3,L1/dhw022_2007_06.txt,10,1
26,11.4025,3,L1/dhw022_2007_06.txt,10,2
27,9.632,3,L1/dhw022_2007_06.txt,10,3
28,8.781,4,L1/dhw022_2007_06.txt,34,1
40,8.4199,4,L1/dhw022_2007_06.txt,30,1
41,7.9302,4,L1/dhw022_2007_06.txt,28,1
42,7.9555,4,L1/dhw022_2007_06.txt,26,1
43,8.0776,4,L1/dhw022_2007_06.txt,24,1
44,8.125,4,L1/dhw022_2007_06.txt,22,1
45,8.3179,4,L1/dhw022_2007_06.txt,20,1
46,7.5843,4,L1/dhw022_2007_06.txt,18,1
47,7.21,4,L1/dhw022_2007_06.txt,16,1
48,10.2155,4,L1/dhw022_2007_06.txt,16,2
49,7.2358,4,L1/dhw022_2007_06.txt,14,1
50,8.7043,4,L1/dhw022_2007_06.txt,14,2
51,7.1656,4,L1/dhw022_2007_06.txt,12,1
52,9.0657,4,L1/dhw022_2007_06.txt,12,2
53,7.3645,4,L1/dhw022_2007_06.txt,10,1
54,9.4205,4,L1/dhw022_2007_06.txt,10,2
55,8.637,4,L1/dhw022_2007_06.txt,10,3
56,8.1406,5,L1/dhw022_2007_06.txt,34,1
68,7.723,5,L1/dhw022_2007_06.txt,30,1
69,7.2087,5,L1/dhw022_2007_06.txt,28,1
70,7.2703,5,L1/dhw022_2007_06.txt,26,1
71,7.342,5,L1/dhw022_2007_06.txt,24,1
72,7.3189,5,L1/dhw022_2007_06.txt,22,1
73,7.5672,5,L1/dhw022_2007_06.txt,20,1
74,6.8,5,L1/dhw022_2007_06.txt,18,1
75,6.25,5,L1/dhw022_2007_06.txt,16,1
76,9.8031,5,L1/dhw022_2007_06.txt,16,2
77,6.1143,5,L1/dhw022_2007_06.txt,14,1
78,8.2832,5,L1/dhw022_2007_06.txt,14,2
79,6.0667,5,L1/dhw022_2007_06.txt,12,1
80,8.5914,5,L1/dhw022_2007_06.txt,12,2
81,6.04,5,L1/dhw022_2007_06.txt,10,1
82,9.0602,5,L1/dhw022_2007_06.txt,10,2
83,8.04,5,L1/dhw022_2007_06.txt,10,3
84,9.1026,3,L1/dew15_2007_09.txt,34,1
96,9.0964,3,L1/dew15_2007_09.txt,30,1
97,9.2532,3,L1/dew15_2007_09.txt,28,1
98,8.9719,3,L1/dew15_2007_09.txt,26,1
99,8.8444,3,L1/dew15_2007_09.txt,24,1
100,8.4404,3,L1/dew15_2007_09.txt,22,1
101,8.6113,3,L1/dew15_2007_09.txt,20,1
102,8.3943,3,L1/dew15_2007_09.txt,18,1
103,8.6965,3,L1/dew15_2007_09.txt,16,1
104,9.4043,3,L1/dew15_2007_09.txt,16,2
105,8.4429,3,L1/dew15_2007_09.txt,14,1
106,10.1512,3,L1/dew15_2007_09.txt,14,2
107,9.0141,3,L1/dew15_2007_09.txt,12,1
108,8.7395,3,L1/dew15_2007_09.txt,12,2
109,7.8971,3,L1/dew15_2007_09.txt,10,1
110,9.5248,3,L1/dew15_2007_09.txt,10,2
111,10.1208,3,L1/dew15_2007_09.txt,10,3
112,7.6764,4,L1/dew15_2007_09.txt,34,1
124,7.5609,4,L1/dew15_2007_09.txt,30,1
125,7.7179,4,L1/dew15_2007_09.txt,28,1
126,7.4335,4,L1/dew15_2007_09.txt,26,1
127,7.3369,4,L1/dew15_2007_09.txt,24,1
128,7.0369,4,L1/dew15_2007_09.txt,22,1
129,7.2233,4,L1/dew15_2007_09.txt,20,1
130,7.1177,4,L1/dew15_2007_09.txt,18,1
131,7.2736,4,L1/dew15_2007_09.txt,16,1
132,7.9474,4,L1/dew15_2007_09.txt,16,2
133,6.9044,4,L1/dew15_2007_09.txt,14,1
134,8.6181,4,L1/dew15_2007_09.txt,14,2
135,7.3029,4,L1/dew15_2007_09.txt,12,1
136,7.4125,4,L1/dew15_2007_09.txt,12,2
137,6.3098,4,L1/dew15_2007_09.txt,10,1
138,8.2683,4,L1/dew15_2007_09.txt,10,2
139,8.3561,4,L1/dew15_2007_09.txt,10,3
140,6.9294,5,L1/dew15_2007_09.txt,34,1
152,6.9467,5,L1/dew15_2007_09.txt,30,1
153,7.0714,5,L1/dew15_2007_09.txt,28,1
154,6.8,5,L1/dew15_2007_09.txt,26,1
155,6.6333,5,L1/dew15_2007_09.txt,24,1
156,6.2182,5,L1/dew15_2007_09.txt,22,1
157,6.34,5,L1/dew15_2007_09.txt,20,1
158,6.2667,5,L1/dew15_2007_09.txt,18,1
159,6.325,5,L1/dew15_2007_09.txt,16,1
160,7.55,5,L1/dew15_2007_09.txt,16,2
161,5.9429,5,L1/dew15_2007_09.txt,14,1
162,8.2,5,L1/dew15_2007_09.txt,14,2
163,6.2333,5,L1/dew15_2007_09.txt,12,1
164,7.0333,5,L1/dew15_2007_09.txt,12,2
165,5.04,5,L1/dew15_2007_09.txt,10,1
166,7.64,5,L1/dew15_2007_09.txt,10,2
167,8.16,5,L1/dew15_2007_09.txt,10,3
168,8.6732,3,L1/dew23_2007_09.txt,22,1
185,8.8425,3,L1/dew23_2007_09.txt,20,1
186,8.8886,3,L1/dew23_2007_09.txt,18,1
187,9.0228,3,L1/dew23_2007_09.txt,16,1
188,9.1424,3,L1/dew23_2007_09.txt,14,1
189,9.261,3,L1/dew23_2007_09.txt,12,1
190,8.8501,3,L1/dew23_2007_09.txt,10,1
191,8.9,3,L1/dew23_2007_09.txt,10,2
192,7.5921,4,L1/dew23_2007_09.txt,22,1
209,7.7929,4,L1/dew23_2007_09.txt,20,1
210,7.9969,4,L1/dew23_2007_09.txt,18,1
211,7.9972,4,L1/dew23_2007_09.txt,16,1
212,8.1668,4,L1/dew23_2007_09.txt,14,1
213,8.155,4,L1/dew23_2007_09.txt,12,1
214,8.1943,4,L1/dew23_2007_09.txt,10,1
215,7.4,4,L1/dew23_2007_09.txt,10,2
216,6.7273,5,L1/dew23_2007_09.txt,22,1
233,6.86,5,L1/dew23_2007_09.txt,20,1
234,6.9778,5,L1/dew23_2007_09.txt,18,1
