,GFI,complexity,document,length_of_chunk,number_of_chunk
0,14.4855,3,summaryL1/fu053d_2007_07.txt,14,1
21,14.4317,3,summaryL1/fu053d_2007_07.txt,12,1
22,15.3353,3,summaryL1/fu053d_2007_07.txt,10,1
23,9.7796,4,summaryL1/fu053d_2007_07.txt,14,1
44,10.146,4,summaryL1/fu053d_2007_07.txt,12,1
45,10.7691,4,summaryL1/fu053d_2007_07.txt,10,1
46,8.9492,5,summaryL1/fu053d_2007_07.txt,14,1
67,9.1937,5,summaryL1/fu053d_2007_07.txt,12,1
68,9.6732,5,summaryL1/fu053d_2007_07.txt,10,1
69,13.4298,3,summaryL1/hu011d_2007_06.txt,26,1
84,13.3734,3,summaryL1/hu011d_2007_06.txt,24,1
85,13.6485,3,summaryL1/hu011d_2007_06.txt,22,1
86,13.9716,3,summaryL1/hu011d_2007_06.txt,20,1
87,14.2366,3,summaryL1/hu011d_2007_06.txt,18,1
88,13.4205,3,summaryL1/hu011d_2007_06.txt,16,1
89,13.693,3,summaryL1/hu011d_2007_06.txt,14,1
90,13.477,3,summaryL1/hu011d_2007_06.txt,12,1
91,13.3333,3,summaryL1/hu011d_2007_06.txt,12,2
92,13.8564,3,summaryL1/hu011d_2007_06.txt,10,1
93,14.0863,3,summaryL1/hu011d_2007_06.txt,10,2
94,9.6285,4,summaryL1/hu011d_2007_06.txt,26,1
109,9.5087,4,summaryL1/hu011d_2007_06.txt,24,1
110,9.7943,4,summaryL1/hu011d_2007_06.txt,22,1
111,9.869,4,summaryL1/hu011d_2007_06.txt,20,1
112,10.2738,4,summaryL1/hu011d_2007_06.txt,18,1
113,10.075,4,summaryL1/hu011d_2007_06.txt,16,1
114,10.1185,4,summaryL1/hu011d_2007_06.txt,14,1
115,9.9718,4,summaryL1/hu011d_2007_06.txt,12,1
116,9.1515,4,summaryL1/hu011d_2007_06.txt,12,2
117,10.6194,4,summaryL1/hu011d_2007_06.txt,10,1
118,9.1425,4,summaryL1/hu011d_2007_06.txt,10,2
119,7.987,5,summaryL1/hu011d_2007_06.txt,26,1
134,7.8662,5,summaryL1/hu011d_2007_06.txt,24,1
135,8.0235,5,summaryL1/hu011d_2007_06.txt,22,1
136,8.1596,5,summaryL1/hu011d_2007_06.txt,20,1
137,8.4162,5,summaryL1/hu011d_2007_06.txt,18,1
138,8.1841,5,summaryL1/hu011d_2007_06.txt,16,1
139,8.2462,5,summaryL1/hu011d_2007_06.txt,14,1
140,7.91,5,summaryL1/hu011d_2007_06.txt,12,1
141,7.8788,5,summaryL1/hu011d_2007_06.txt,12,2
142,8.5385,5,summaryL1/hu011d_2007_06.txt,10,1
143,7.7942,5,summaryL1/hu011d_2007_06.txt,10,2
144,13.9085,3,summaryL1/fu045d_2007_05.txt,18,1
163,14.3426,3,summaryL1/fu045d_2007_05.txt,16,1
164,12.8446,3,summaryL1/fu045d_2007_05.txt,14,1
165,13.6927,3,summaryL1/fu045d_2007_05.txt,12,1
166,13.6488,3,summaryL1/fu045d_2007_05.txt,10,1
167,10.1438,4,summaryL1/fu045d_2007_05.txt,18,1
186,10.2531,4,summaryL1/fu045d_2007_05.txt,16,1
187,9.2852,4,summaryL1/fu045d_2007_05.txt,14,1
188,9.8571,4,summaryL1/fu045d_2007_05.txt,12,1
189,9.6709,4,summaryL1/fu045d_2007_05.txt,10,1
190,8.2614,5,summaryL1/fu045d_2007_05.txt,18,1
209,8.464,5,summaryL1/fu045d_2007_05.txt,16,1
210,7.4208,5,summaryL1/fu045d_2007_05.txt,14,1
211,8.0306,5,summaryL1/fu045d_2007_05.txt,12,1
212,8.124,5,summaryL1/fu045d_2007_05.txt,10,1
213,14.0084,3,summaryL1/hu012d_2007_06.txt,12,1
235,13.5332,3,summaryL1/hu012d_2007_06.txt,10,1
236,9.6931,4,summaryL1/hu012d_2007_06.txt,12,1
258,9.2033,4,summaryL1/hu012d_2007_06.txt,10,1
259,8.6972,5,summaryL1/hu012d_2007_06.txt,12,1
281,8.5847,5,summaryL1/hu012d_2007_06.txt,10,1
282,11.6267,3,summaryL1/fu051d_2007_05.txt,19,1
300,11.6422,3,summaryL1/fu051d_2007_05.txt,18,1
301,11.5,3,summaryL1/fu051d_2007_05.txt,16,1
302,12.0895,3,summaryL1/fu051d_2007_05.txt,14,1
303,11.5543,3,summaryL1/fu051d_2007_05.txt,12,1
304,12.3222,3,summaryL1/fu051d_2007_05.txt,10,1
305,5.9985,4,summaryL1/fu051d_2007_05.txt,19,1
323,6.0807,4,summaryL1/fu051d_2007_05.txt,18,1
324,5.75,4,summaryL1/fu051d_2007_05.txt,16,1
325,5.6661,4,summaryL1/fu051d_2007_05.txt,14,1
326,5.1826,4,summaryL1/fu051d_2007_05.txt,12,1
327,5.4404,4,summaryL1/fu051d_2007_05.txt,10,1
328,4.7925,5,summaryL1/fu051d_2007_05.txt,19,1
346,4.7973,5,summaryL1/fu051d_2007_05.txt,18,1
347,4.5,5,summaryL1/fu051d_2007_05.txt,16,1
348,4.4982,5,summaryL1/fu051d_2007_05.txt,14,1
349,4.4746,5,summaryL1/fu051d_2007_05.txt,12,1
350,4.5802,5,summaryL1/fu051d_2007_05.txt,10,1
351,11.7149,3,summaryL1/hu019d_2007_07.txt,26,1
366,11.7552,3,summaryL1/hu019d_2007_07.txt,24,1
367,11.764,3,summaryL1/hu019d_2007_07.txt,22,1
368,11.5553,3,summaryL1/hu019d_2007_07.txt,20,1
369,11.6817,3,summaryL1/hu019d_2007_07.txt,18,1
370,11.2562,3,summaryL1/hu019d_2007_07.txt,16,1
371,10.9862,3,summaryL1/hu019d_2007_07.txt,14,1
372,11.1333,3,summaryL1/hu019d_2007_07.txt,12,1
373,12.3582,3,summaryL1/hu019d_2007_07.txt,12,2
374,11.3755,3,summaryL1/hu019d_2007_07.txt,10,1
375,11.7412,3,summaryL1/hu019d_2007_07.txt,10,2
376,8.609,4,summaryL1/hu019d_2007_07.txt,26,1
391,8.4303,4,summaryL1/hu019d_2007_07.txt,24,1
392,8.31,4,summaryL1/hu019d_2007_07.txt,22,1
393,8.2525,4,summaryL1/hu019d_2007_07.txt,20,1
394,8.2215,4,summaryL1/hu019d_2007_07.txt,18,1
395,7.6903,4,summaryL1/hu019d_2007_07.txt,16,1
396,7.4677,4,summaryL1/hu019d_2007_07.txt,14,1
397,7.4377,4,summaryL1/hu019d_2007_07.txt,12,1
398,9.3535,4,summaryL1/hu019d_2007_07.txt,12,2
399,7.5539,4,summaryL1/hu019d_2007_07.txt,10,1
400,8.9176,4,summaryL1/hu019d_2007_07.txt,10,2
401,6.6326,5,summaryL1/hu019d_2007_07.txt,26,1
416,6.7174,5,summaryL1/hu019d_2007_07.txt,24,1
417,6.6387,5,summaryL1/hu019d_2007_07.txt,22,1
418,6.6623,5,summaryL1/hu019d_2007_07.txt,20,1
419,6.5606,5,summaryL1/hu019d_2007_07.txt,18,1
420,6.605,5,summaryL1/hu019d_2007_07.txt,16,1
421,6.3566,5,summaryL1/hu019d_2007_07.txt,14,1
422,6.3507,5,summaryL1/hu019d_2007_07.txt,12,1
423,7.1,5,summaryL1/hu019d_2007_07.txt,12,2
424,6.28,5,summaryL1/hu019d_2007_07.txt,10,1
425,7.0353,5,summaryL1/hu019d_2007_07.txt,10,2
426,15.2331,3,summaryL1/fu009d_2005_02.txt,16,1
446,15.2884,3,summaryL1/fu009d_2005_02.txt,14,1
447,15.5533,3,summaryL1/fu009d_2005_02.txt,12,1
448,15.0928,3,summaryL1/fu009d_2005_02.txt,10,1
449,10.5729,4,summaryL1/fu009d_2005_02.txt,16,1
469,11.0179,4,summaryL1/fu009d_2005_02.txt,14,1
470,11.6163,4,summaryL1/fu009d_2005_02.txt,12,1
471,11.7125,4,summaryL1/fu009d_2005_02.txt,10,1
472,8.6311,5,summaryL1/fu009d_2005_02.txt,16,1
492,9.025,5,summaryL1/fu009d_2005_02.txt,14,1
493,9.569,5,summaryL1/fu009d_2005_02.txt,12,1
494,9.8346,5,summaryL1/fu009d_2005_02.txt,10,1
495,12.2599,3,summaryL1/fu022d_2005_02.txt,28,1
509,12.1907,3,summaryL1/fu022d_2005_02.txt,26,1
510,12.1818,3,summaryL1/fu022d_2005_02.txt,24,1
511,12.3397,3,summaryL1/fu022d_2005_02.txt,22,1
512,12.7385,3,summaryL1/fu022d_2005_02.txt,20,1
513,13.1772,3,summaryL1/fu022d_2005_02.txt,18,1
514,13.189,3,summaryL1/fu022d_2005_02.txt,16,1
515,13.7633,3,summaryL1/fu022d_2005_02.txt,14,1
516,10.6905,3,summaryL1/fu022d_2005_02.txt,14,2
517,14.2472,3,summaryL1/fu022d_2005_02.txt,12,1
518,10.0914,3,summaryL1/fu022d_2005_02.txt,12,2
519,14.0418,3,summaryL1/fu022d_2005_02.txt,10,1
520,11.3792,3,summaryL1/fu022d_2005_02.txt,10,2
521,9.2312,4,summaryL1/fu022d_2005_02.txt,28,1
535,9.3414,4,summaryL1/fu022d_2005_02.txt,26,1
536,9.4824,4,summaryL1/fu022d_2005_02.txt,24,1
537,9.3923,4,summaryL1/fu022d_2005_02.txt,22,1
538,9.8154,4,summaryL1/fu022d_2005_02.txt,20,1
539,10.332,4,summaryL1/fu022d_2005_02.txt,18,1
540,10.3983,4,summaryL1/fu022d_2005_02.txt,16,1
541,10.9061,4,summaryL1/fu022d_2005_02.txt,14,1
542,7.4819,4,summaryL1/fu022d_2005_02.txt,14,2
543,11.3203,4,summaryL1/fu022d_2005_02.txt,12,1
544,7.6222,4,summaryL1/fu022d_2005_02.txt,12,2
545,11.335,4,summaryL1/fu022d_2005_02.txt,10,1
546,8.2296,4,summaryL1/fu022d_2005_02.txt,10,2
547,6.7247,5,summaryL1/fu022d_2005_02.txt,28,1
561,6.9305,5,summaryL1/fu022d_2005_02.txt,26,1
562,6.9057,5,summaryL1/fu022d_2005_02.txt,24,1
563,6.7257,5,summaryL1/fu022d_2005_02.txt,22,1
564,6.8923,5,summaryL1/fu022d_2005_02.txt,20,1
565,7.1521,5,summaryL1/fu022d_2005_02.txt,18,1
566,7.2355,5,summaryL1/fu022d_2005_02.txt,16,1
567,7.6408,5,summaryL1/fu022d_2005_02.txt,14,1
568,5.7707,5,summaryL1/fu022d_2005_02.txt,14,2
