,GFI,complexity,document,length_of_chunk,number_of_chunk
0,14.5669,3,de122603393.txt,1126,1
1,14.4475,3,de122603393.txt,1000,1
2,14.3095,3,de122603393.txt,750,1
3,14.3511,3,de122603393.txt,500,1
4,14.5724,3,de122603393.txt,500,2
5,14.2598,3,de122603393.txt,450,1
6,14.4976,3,de122603393.txt,450,2
7,14.3157,3,de122603393.txt,400,1
8,14.3591,3,de122603393.txt,400,2
9,14.3651,3,de122603393.txt,350,1
10,14.1382,3,de122603393.txt,350,2
11,14.8998,3,de122603393.txt,350,3
12,14.5755,3,de122603393.txt,300,1
13,14.2896,3,de122603393.txt,300,2
14,14.3143,3,de122603393.txt,300,3
15,14.3755,3,de122603393.txt,250,1
16,14.331,3,de122603393.txt,250,2
17,14.2624,3,de122603393.txt,250,3
18,14.8769,3,de122603393.txt,250,4
19,14.3125,3,de122603393.txt,200,1
20,14.3263,3,de122603393.txt,200,2
21,14.6639,3,de122603393.txt,200,3
22,14.1061,3,de122603393.txt,200,4
23,14.9246,3,de122603393.txt,200,5
24,14.0758,3,de122603393.txt,150,1
25,15.0591,3,de122603393.txt,150,2
26,13.6166,3,de122603393.txt,150,3
27,14.9418,3,de122603393.txt,150,4
28,13.9049,3,de122603393.txt,150,5
29,14.7143,3,de122603393.txt,150,6
30,14.9956,3,de122603393.txt,150,7
31,14.7947,3,de122603393.txt,100,1
32,13.8189,3,de122603393.txt,100,2
33,15.0965,3,de122603393.txt,100,3
34,13.5152,3,de122603393.txt,100,4
35,14.4928,3,de122603393.txt,100,5
36,14.8359,3,de122603393.txt,100,6
37,13.188,3,de122603393.txt,100,7
38,14.9794,3,de122603393.txt,100,8
39,14.7242,3,de122603393.txt,100,9
40,15.1339,3,de122603393.txt,100,10
41,14.6603,3,de122603393.txt,100,11
42,14.7549,3,de122603393.txt,75,1
43,13.3637,3,de122603393.txt,75,2
44,14.607,3,de122603393.txt,75,3
45,15.5237,3,de122603393.txt,75,4
46,12.6392,3,de122603393.txt,75,5
47,14.5331,3,de122603393.txt,75,6
48,14.7294,3,de122603393.txt,75,7
49,15.1898,3,de122603393.txt,75,8
50,13.304,3,de122603393.txt,75,9
51,14.4927,3,de122603393.txt,75,10
52,14.7206,3,de122603393.txt,75,11
53,14.7206,3,de122603393.txt,75,12
54,15.6102,3,de122603393.txt,75,13
55,14.3638,3,de122603393.txt,75,14
56,15.9933,3,de122603393.txt,75,15
57,14.1042,3,de122603393.txt,50,1
58,15.4939,3,de122603393.txt,50,2
59,12.5692,3,de122603393.txt,50,3
60,15.0125,3,de122603393.txt,50,4
61,14.626,3,de122603393.txt,50,5
62,15.5655,3,de122603393.txt,50,6
63,13.0539,3,de122603393.txt,50,7
64,13.9663,3,de122603393.txt,50,8
65,13.8192,3,de122603393.txt,50,9
66,15.1895,3,de122603393.txt,50,10
67,14.7115,3,de122603393.txt,50,11
68,14.9711,3,de122603393.txt,50,12
69,13.3706,3,de122603393.txt,50,13
70,13.0178,3,de122603393.txt,50,14
71,15.263,3,de122603393.txt,50,15
