,complexity,length_of_chunk,std,variance
0,3,30,0.0,0.0
1,3,28,0.0,0.0
2,3,26,0.0,0.0
3,3,24,0.0,0.0
4,3,22,0.0,0.0
5,3,20,0.0,0.0
6,3,18,0.0,0.0
7,3,16,1.4528499999999998,2.1107731224999995
8,3,14,0.6883499999999998,0.4738257224999997
9,3,12,1.1603500000000002,1.3464121225000005
10,3,10,1.1248210474955067,1.2652223888888887
11,4,30,0.0,0.0
12,4,28,0.0,0.0
13,4,26,0.0,0.0
14,4,24,0.0,0.0
15,4,22,0.0,0.0
16,4,20,0.0,0.0
17,4,18,0.0,0.0
18,4,16,1.5027500000000003,2.2582575625000008
19,4,14,0.7342499999999998,0.5391230624999998
20,4,12,0.9500499999999996,0.9025950024999994
21,4,10,0.8472350126539078,0.7178071666666673
22,5,30,0.0,0.0
23,5,28,0.0,0.0
24,5,26,0.0,0.0
25,5,24,0.0,0.0
26,5,22,0.0,0.0
27,5,20,0.0,0.0
28,5,18,0.0,0.0
29,5,16,1.7765500000000003,3.156129902500001
30,5,14,1.0844500000000004,1.1760318025000007
31,5,12,1.26235,1.5935275225000003
32,5,10,1.2544328545867516,1.5736017866666663
33,3,30,0.0,0.0
34,3,28,0.0,0.0
35,3,26,0.0,0.0
36,3,24,0.0,0.0
37,3,22,0.0,0.0
38,3,20,0.0,0.0
39,3,18,0.0,0.0
40,3,16,0.35389999999999944,0.1252452099999996
41,3,14,0.8541499999999997,0.7295722224999996
42,3,12,0.13729999999999976,0.018851289999999934
43,3,10,0.9398265194527479,0.8832738866666663
44,4,30,0.0,0.0
45,4,28,0.0,0.0
46,4,26,0.0,0.0
47,4,24,0.0,0.0
48,4,22,0.0,0.0
49,4,20,0.0,0.0
50,4,18,0.0,0.0
51,4,16,0.3369,0.11350160999999999
52,4,14,0.8568500000000001,0.7341919225000002
53,4,12,0.05479999999999974,0.003003039999999971
54,4,10,0.9446207222419423,0.8923083088888887
55,5,30,0.0,0.0
56,5,28,0.0,0.0
57,5,26,0.0,0.0
58,5,24,0.0,0.0
59,5,22,0.0,0.0
60,5,20,0.0,0.0
61,5,18,0.0,0.0
62,5,16,0.6124999999999998,0.3751562499999998
63,5,14,1.1285499999999997,1.2736251024999994
64,5,12,0.3999999999999999,0.15999999999999992
65,5,10,1.3648280314953805,1.8627555555555553
66,3,22,0.0,0.0
67,3,20,0.0,0.0
68,3,18,0.0,0.0
69,3,16,0.0,0.0
70,3,14,0.0,0.0
71,3,12,0.0,0.0
72,3,10,0.024950000000000472,0.0006225025000000235
73,4,22,0.0,0.0
74,4,20,0.0,0.0
75,4,18,0.0,0.0
76,4,16,0.0,0.0
77,4,14,0.0,0.0
78,4,12,0.0,0.0
79,4,10,0.3971499999999999,0.1577281224999999
80,5,22,0.0,0.0
81,5,20,0.0,0.0
82,5,18,0.0,0.0
83,5,16,0.0,0.0
84,5,14,0.0,0.0
85,5,12,0.0,0.0
86,5,10,0.45999999999999996,0.21159999999999995
87,3,18,0.0,0.0
88,3,16,0.0,0.0
89,3,14,0.0,0.0
90,3,12,0.0,0.0
91,3,10,0.0,0.0
92,4,18,0.0,0.0
93,4,16,0.0,0.0
94,4,14,0.0,0.0
95,4,12,0.0,0.0
96,4,10,0.0,0.0
97,5,18,0.0,0.0
98,5,16,0.0,0.0
99,5,14,0.0,0.0
100,5,12,0.0,0.0
101,5,10,0.0,0.0
102,3,30,0.0,0.0
103,3,28,0.0,0.0
104,3,26,0.0,0.0
105,3,24,0.0,0.0
106,3,22,0.0,0.0
107,3,20,0.0,0.0
108,3,18,0.0,0.0
109,3,16,0.4972499999999993,0.2472575624999993
110,3,14,0.019400000000000084,0.00037636000000000326
111,3,12,0.01774999999999949,0.00031506249999998186
112,3,10,0.7197657535615319,0.51806274
113,4,30,0.0,0.0
114,4,28,0.0,0.0
115,4,26,0.0,0.0
116,4,24,0.0,0.0
117,4,22,0.0,0.0
118,4,20,0.0,0.0
119,4,18,0.0,0.0
120,4,16,0.15355000000000008,0.023577602500000024
121,4,14,0.2497499999999997,0.06237506249999985
122,4,12,0.3576999999999999,0.12794928999999994
123,4,10,0.570648420658465,0.32563962000000046
124,5,30,0.0,0.0
125,5,28,0.0,0.0
126,5,26,0.0,0.0
127,5,24,0.0,0.0
128,5,22,0.0,0.0
129,5,20,0.0,0.0
130,5,18,0.0,0.0
131,5,16,0.09315000000000007,0.008676922500000012
132,5,14,0.3934000000000002,0.15476356000000013
133,5,12,0.3135500000000002,0.09831360250000014
134,5,10,0.7383282121718558,0.5451285488888891
135,3,35,0.0,0.0
136,3,30,0.0,0.0
137,3,28,0.0,0.0
138,3,26,0.0,0.0
139,3,24,0.0,0.0
140,3,22,0.0,0.0
141,3,20,0.0,0.0
142,3,18,0.10525000000000029,0.011077562500000061
143,3,16,0.13929999999999998,0.019404489999999996
144,3,14,0.11770000000000014,0.013853290000000032
145,3,12,0.5389297439266915,0.2904452688888892
146,3,10,0.8710416076297521,0.7587134822222231
147,4,35,0.0,0.0
148,4,30,0.0,0.0
149,4,28,0.0,0.0
150,4,26,0.0,0.0
151,4,24,0.0,0.0
152,4,22,0.0,0.0
153,4,20,0.0,0.0
154,4,18,0.0009000000000001229,8.100000000002213e-07
155,4,16,0.38260000000000005,0.14638276000000003
156,4,14,0.3961000000000001,0.1568952100000001
157,4,12,0.19595449018132277,0.03839816222222212
158,4,10,0.933971463994246,0.8723026955555552
159,5,35,0.0,0.0
160,5,30,0.0,0.0
161,5,28,0.0,0.0
162,5,26,0.0,0.0
163,5,24,0.0,0.0
164,5,22,0.0,0.0
165,5,20,0.0,0.0
166,5,18,0.4959500000000001,0.24596640250000013
167,5,16,0.5512000000000001,0.30382144000000016
168,5,14,0.47245000000000026,0.22320900250000025
169,5,12,0.3340881420623406,0.11161488666666668
170,5,10,1.247019024179931,1.5550564466666674
171,3,30,0.0,0.0
172,3,28,0.0,0.0
173,3,26,0.0,0.0
174,3,24,0.0,0.0
175,3,22,0.0,0.0
176,3,20,0.0,0.0
177,3,18,0.0,0.0
178,3,16,0.8157000000000002,0.6653664900000003
179,3,14,1.2224999999999997,1.4945062499999993
180,3,12,0.6211500000000001,0.3858273225000001
181,3,10,0.9661597877967989,0.9334647355555555
182,4,30,0.0,0.0
183,4,28,0.0,0.0
184,4,26,0.0,0.0
185,4,24,0.0,0.0
186,4,22,0.0,0.0
187,4,20,0.0,0.0
188,4,18,0.0,0.0
189,4,16,0.9661,0.9333492099999999
190,4,14,1.14235,1.3049635225
191,4,12,0.8694500000000001,0.7559433025000001
192,4,10,1.2439460179427229,1.5474016955555567
193,5,30,0.0,0.0
194,5,28,0.0,0.0
195,5,26,0.0,0.0
196,5,24,0.0,0.0
197,5,22,0.0,0.0
198,5,20,0.0,0.0
199,5,18,0.0,0.0
200,5,16,0.9874999999999998,0.9751562499999996
201,5,14,1.1714000000000002,1.3721779600000006
202,5,12,1.0833500000000003,1.1736472225000005
203,5,10,1.3718438524684784,1.8819555555555565
204,3,20,0.0,0.0
205,3,18,0.0,0.0
206,3,16,0.0,0.0
207,3,14,0.0,0.0
208,3,12,0.0,0.0
209,3,10,1.5296500000000002,2.3398291225000007
210,4,20,0.0,0.0
211,4,18,0.0,0.0
212,4,16,0.0,0.0
213,4,14,0.0,0.0
214,4,12,0.0,0.0
215,4,10,1.88035,3.5357161225
216,5,20,0.0,0.0
217,5,18,0.0,0.0
218,5,16,0.0,0.0
219,5,14,0.0,0.0
220,5,12,0.0,0.0
221,5,10,1.8800000000000003,3.5344000000000015
222,3,35,0.0,0.0
223,3,30,0.0,0.0
224,3,28,0.0,0.0
225,3,26,0.0,0.0
226,3,24,0.0,0.0
227,3,22,0.0,0.0
228,3,20,0.0,0.0
229,3,18,0.49324999999999974,0.24329556249999976
230,3,16,0.5065499999999998,0.25659290249999983
231,3,14,0.7180499999999999,0.5155958024999998
232,3,12,1.0947016468223456,1.1983716955555557
233,3,10,1.6077703014492528,2.584925342222221
234,4,35,0.0,0.0
235,4,30,0.0,0.0
236,4,28,0.0,0.0
237,4,26,0.0,0.0
238,4,24,0.0,0.0
239,4,22,0.0,0.0
240,4,20,0.0,0.0
241,4,18,0.2903500000000001,0.08430312250000006
242,4,16,0.3705499999999997,0.13730730249999978
243,4,14,0.7998500000000002,0.6397600225000003
244,4,12,1.3227562772063834,1.7496841688888907
245,4,10,2.0862359853733388,4.3523805866666665
246,5,35,0.0,0.0
247,5,30,0.0,0.0
248,5,28,0.0,0.0
249,5,26,0.0,0.0
250,5,24,0.0,0.0
251,5,22,0.0,0.0
252,5,20,0.0,0.0
253,5,18,0.12040000000000006,0.014496160000000015
254,5,16,0.12424999999999997,0.015438062499999993
255,5,14,0.5380500000000001,0.2894978025000001
256,5,12,1.0960596253043096,1.2013467022222235
257,5,10,1.8396554031182637,3.384332002222221
258,3,45,0.0,0.0
259,3,40,0.0,0.0
260,3,35,0.0,0.0
261,3,30,0.0,0.0
262,3,28,0.0,0.0
263,3,26,0.0,0.0
264,3,24,0.62615,0.3920638225
265,3,22,0.6733000000000002,0.4533328900000003
266,3,20,1.2489,1.5597512099999997
267,3,18,1.81845,3.3067604024999997
268,3,16,1.6926693816441398,2.865129635555555
269,3,14,1.8056430218130668,3.2603467222222235
270,3,12,1.595967433878273,2.54711205
271,3,10,1.675442786996918,2.8071085325
272,4,45,0.0,0.0
273,4,40,0.0,0.0
274,4,35,0.0,0.0
275,4,30,0.0,0.0
276,4,28,0.0,0.0
277,4,26,0.0,0.0
278,4,24,1.1816999999999998,1.3964148899999995
279,4,22,1.13245,1.2824430025
280,4,20,1.7615000000000003,3.1028822500000013
281,4,18,2.18265,4.763961022500001
282,4,16,1.830120186095863,3.3493398955555556
283,4,14,1.7425148614064159,3.0363580422222207
284,4,12,1.7036880825139322,2.902553082499999
285,4,10,1.9828672333265278,3.931762464999999
286,5,45,0.0,0.0
287,5,40,0.0,0.0
288,5,35,0.0,0.0
289,5,30,0.0,0.0
290,5,28,0.0,0.0
291,5,26,0.0,0.0
292,5,24,1.0060000000000002,1.0120360000000004
293,5,22,1.1309999999999998,1.2791609999999993
294,5,20,1.6321500000000002,2.663913622500001
295,5,18,2.0649999999999995,4.264224999999998
296,5,16,1.6808247188673644,2.825171735555555
297,5,14,1.5268608086164528,2.331303928888888
298,5,12,1.4433032754760864,2.0831243449999994
299,5,10,1.8091064125349288,3.2728660118749997
300,3,14,0.0,0.0
301,3,12,0.0,0.0
302,3,10,0.0,0.0
303,4,14,0.0,0.0
304,4,12,0.0,0.0
305,4,10,0.0,0.0
306,5,14,0.0,0.0
307,5,12,0.0,0.0
308,5,10,0.0,0.0
309,3,60,0.0,0.0
310,3,50,0.0,0.0
311,3,45,0.0,0.0
312,3,40,0.0,0.0
313,3,35,0.0,0.0
314,3,30,0.8180499999999995,0.6692058024999992
315,3,28,0.8642000000000003,0.7468416400000005
316,3,26,0.7227999999999994,0.5224398399999992
317,3,24,0.35075000000000056,0.1230255625000004
318,3,22,0.6437999999999997,0.41447843999999967
319,3,20,0.6125725807336354,0.3752451666666663
320,3,18,0.637399137118964,0.40627765999999993
321,3,16,0.7118743771824417,0.5067651288888892
322,3,14,0.9223888669509183,0.8508012218749987
323,3,12,0.8627278699566859,0.7442993776000003
324,3,10,0.9994336223859771,0.9988675655555558
325,4,60,0.0,0.0
326,4,50,0.0,0.0
327,4,45,0.0,0.0
328,4,40,0.0,0.0
329,4,35,0.0,0.0
330,4,30,0.18809999999999993,0.03538160999999997
331,4,28,0.2161500000000003,0.04672082250000012
332,4,26,0.1671499999999999,0.02793912249999997
333,4,24,0.04954999999999998,0.0024552024999999985
334,4,22,0.18095000000000017,0.03274290250000006
335,4,20,0.2281543921704481,0.05205442666666663
336,4,18,0.10881980007741626,0.011841748888888845
337,4,16,0.2866804996662467,0.08218570888888888
338,4,14,0.4459454079537092,0.1988673068750001
