,complexity,length_of_chunk,std,variance
0,3,14,0.0,0.0
1,3,12,0.0,0.0
2,3,10,0.0,0.0
3,4,14,0.0,0.0
4,4,12,0.0,0.0
5,4,10,0.0,0.0
6,5,14,0.0,0.0
7,5,12,0.0,0.0
8,5,10,0.0,0.0
9,3,26,0.0,0.0
10,3,24,0.0,0.0
11,3,22,0.0,0.0
12,3,20,0.0,0.0
13,3,18,0.0,0.0
14,3,16,0.0,0.0
15,3,14,0.0,0.0
16,3,12,0.07185000000000041,0.005162422500000059
17,3,10,0.11494999999999944,0.013213502499999872
18,4,26,0.0,0.0
19,4,24,0.0,0.0
20,4,22,0.0,0.0
21,4,20,0.0,0.0
22,4,18,0.0,0.0
23,4,16,0.0,0.0
24,4,14,0.0,0.0
25,4,12,0.4101499999999998,0.16822302249999982
26,4,10,0.7384500000000003,0.5453084025000005
27,5,26,0.0,0.0
28,5,24,0.0,0.0
29,5,22,0.0,0.0
30,5,20,0.0,0.0
31,5,18,0.0,0.0
32,5,16,0.0,0.0
33,5,14,0.0,0.0
34,5,12,0.015600000000000058,0.00024336000000000182
35,5,10,0.3721500000000004,0.1384956225000003
36,3,18,0.0,0.0
37,3,16,0.0,0.0
38,3,14,0.0,0.0
39,3,12,0.0,0.0
40,3,10,0.0,0.0
41,4,18,0.0,0.0
42,4,16,0.0,0.0
43,4,14,0.0,0.0
44,4,12,0.0,0.0
45,4,10,0.0,0.0
46,5,18,0.0,0.0
47,5,16,0.0,0.0
48,5,14,0.0,0.0
49,5,12,0.0,0.0
50,5,10,0.0,0.0
51,3,12,0.0,0.0
52,3,10,0.0,0.0
53,4,12,0.0,0.0
54,4,10,0.0,0.0
55,5,12,0.0,0.0
56,5,10,0.0,0.0
57,3,18,0.0,0.0
58,3,16,0.0,0.0
59,3,14,0.0,0.0
60,3,12,0.0,0.0
61,3,10,0.0,0.0
62,4,18,0.0,0.0
63,4,16,0.0,0.0
64,4,14,0.0,0.0
65,4,12,0.0,0.0
66,4,10,0.0,0.0
67,5,18,0.0,0.0
68,5,16,0.0,0.0
69,5,14,0.0,0.0
70,5,12,0.0,0.0
71,5,10,0.0,0.0
72,3,26,0.0,0.0
73,3,24,0.0,0.0
74,3,22,0.0,0.0
75,3,20,0.0,0.0
76,3,18,0.0,0.0
77,3,16,0.0,0.0
78,3,14,0.0,0.0
79,3,12,0.6124499999999999,0.37509500249999994
80,3,10,0.1828499999999993,0.03343412249999974
81,4,26,0.0,0.0
82,4,24,0.0,0.0
83,4,22,0.0,0.0
84,4,20,0.0,0.0
85,4,18,0.0,0.0
86,4,16,0.0,0.0
87,4,14,0.0,0.0
88,4,12,0.9579,0.91757241
89,4,10,0.6818500000000003,0.4649194225000004
90,5,26,0.0,0.0
91,5,24,0.0,0.0
92,5,22,0.0,0.0
93,5,20,0.0,0.0
94,5,18,0.0,0.0
95,5,16,0.0,0.0
96,5,14,0.0,0.0
97,5,12,0.3746499999999999,0.14036262249999995
98,5,10,0.37765000000000004,0.14261952250000004
99,3,16,0.0,0.0
100,3,14,0.0,0.0
101,3,12,0.0,0.0
102,3,10,0.0,0.0
103,4,16,0.0,0.0
104,4,14,0.0,0.0
105,4,12,0.0,0.0
106,4,10,0.0,0.0
107,5,16,0.0,0.0
108,5,14,0.0,0.0
109,5,12,0.0,0.0
110,5,10,0.0,0.0
111,3,28,0.0,0.0
112,3,26,0.0,0.0
113,3,24,0.0,0.0
114,3,22,0.0,0.0
115,3,20,0.0,0.0
116,3,18,0.0,0.0
117,3,16,0.0,0.0
118,3,14,1.5363999999999995,2.3605249599999985
119,3,12,2.0778999999999996,4.317668409999999
120,3,10,1.3312999999999997,1.7723596899999992
121,4,28,0.0,0.0
122,4,26,0.0,0.0
123,4,24,0.0,0.0
124,4,22,0.0,0.0
125,4,20,0.0,0.0
126,4,18,0.0,0.0
127,4,16,0.0,0.0
128,4,14,1.7121000000000002,2.9312864100000002
129,4,12,1.8490499999999996,3.4189859024999985
130,4,10,1.5527000000000006,2.410877290000002
131,5,28,0.0,0.0
132,5,26,0.0,0.0
133,5,24,0.0,0.0
134,5,22,0.0,0.0
135,5,20,0.0,0.0
136,5,18,0.0,0.0
137,5,16,0.0,0.0
138,5,14,0.9350499999999999,0.8743185025
139,5,12,0.5151000000000003,0.26532801000000034
140,5,10,0.07299999999999995,0.0053289999999999935
141,3,26,0.0,0.0
142,3,24,0.0,0.0
143,3,22,0.0,0.0
144,3,20,0.0,0.0
145,3,18,0.0,0.0
146,3,16,0.0,0.0
147,3,14,0.0,0.0
148,3,12,1.0016500000000006,1.0033027225000013
149,3,10,0.04459999999999997,0.0019891599999999976
150,4,26,0.0,0.0
151,4,24,0.0,0.0
152,4,22,0.0,0.0
153,4,20,0.0,0.0
154,4,18,0.0,0.0
155,4,16,0.0,0.0
156,4,14,0.0,0.0
157,4,12,0.061799999999999855,0.003819239999999982
158,4,10,0.09604999999999997,0.009225602499999994
159,5,26,0.0,0.0
160,5,24,0.0,0.0
161,5,22,0.0,0.0
162,5,20,0.0,0.0
163,5,18,0.0,0.0
164,5,16,0.0,0.0
165,5,14,0.0,0.0
166,5,12,1.00705,1.0141497025
167,5,10,0.5895999999999999,0.3476281599999999
168,3,14,0.0,0.0
169,3,12,0.0,0.0
170,3,10,0.0,0.0
171,4,14,0.0,0.0
172,4,12,0.0,0.0
173,4,10,0.0,0.0
174,5,14,0.0,0.0
175,5,12,0.0,0.0
176,5,10,0.0,0.0
177,3,28,0.0,0.0
178,3,26,0.0,0.0
179,3,24,0.0,0.0
180,3,22,0.0,0.0
181,3,20,0.0,0.0
182,3,18,0.0,0.0
183,3,16,0.0,0.0
184,3,14,0.8442999999999997,0.7128424899999994
185,3,12,0.0024999999999995026,6.249999999997513e-06
186,3,10,1.0538999999999996,1.110705209999999
187,4,28,0.0,0.0
188,4,26,0.0,0.0
189,4,24,0.0,0.0
190,4,22,0.0,0.0
191,4,20,0.0,0.0
192,4,18,0.0,0.0
193,4,16,0.0,0.0
194,4,14,0.2344999999999997,0.054990249999999866
195,4,12,0.18289999999999917,0.0334524099999997
196,4,10,0.09134999999999938,0.008344822499999887
197,5,28,0.0,0.0
198,5,26,0.0,0.0
199,5,24,0.0,0.0
200,5,22,0.0,0.0
201,5,20,0.0,0.0
202,5,18,0.0,0.0
203,5,16,0.0,0.0
204,5,14,0.47565000000000035,0.22624292250000033
205,5,12,0.6507999999999998,0.4235406399999998
206,5,10,0.73305,0.5373623024999999
207,3,30,0.0,0.0
208,3,28,0.0,0.0
209,3,26,0.0,0.0
210,3,24,0.0,0.0
211,3,22,0.0,0.0
212,3,20,0.0,0.0
213,3,18,0.0,0.0
214,3,16,1.0711000000000004,1.1472552100000009
215,3,14,0.5965999999999996,0.3559315599999995
216,3,12,0.3789499999999997,0.14360310249999975
217,3,10,0.4104646229173305,0.1684812066666663
218,4,30,0.0,0.0
219,4,28,0.0,0.0
220,4,26,0.0,0.0
221,4,24,0.0,0.0
222,4,22,0.0,0.0
223,4,20,0.0,0.0
224,4,18,0.0,0.0
225,4,16,0.12179999999999946,0.01483523999999987
