,ARI,CLI,FKGL,GFI,SMOG,complexity,document,fog,length_of_chunk,number_of_chunk
0,17.5,14.63,15.5,13.24,16.3,3,en114417450.txt,17.4614,346,1
7,17.6,14.8,15.5,13.47,16.4,3,en114417450.txt,17.5798,300,1
8,17.7,14.97,15.5,13.54,16.4,3,en114417450.txt,17.6114,250,1
9,17.7,14.74,15.6,13.68,16.4,3,en114417450.txt,17.7257,200,1
10,18.4,15.32,15.8,14.36,16.8,3,en114417450.txt,17.9321,150,1
11,16.8,14.28,14.0,14.08,16.0,3,en114417450.txt,17.2235,150,2
12,19.8,15.96,16.5,15.64,17.6,3,en114417450.txt,19.4272,100,1
13,15.3,13.29,13.6,12.81,15.0,3,en114417450.txt,15.8685,100,2
14,17.5,14.92,15.3,15.48,16.4,3,en114417450.txt,17.2898,100,3
15,19.6,15.9,16.4,15.85,17.5,3,en114417450.txt,19.4089,75,1
16,17.0,14.57,14.1,14.35,15.9,3,en114417450.txt,16.3437,75,2
17,16.4,13.93,13.9,13.83,15.8,3,en114417450.txt,17.2394,75,3
18,17.2,14.63,15.3,15.87,16.2,3,en114417450.txt,17.2233,75,4
19,19.2,16.08,15.9,15.64,17.2,3,en114417450.txt,19.0036,50,1
20,20.5,16.2,17.1,17.12,18.1,3,en114417450.txt,19.8533,50,2
21,15.0,13.47,13.2,13.53,14.6,3,en114417450.txt,14.5556,50,3
22,15.6,13.18,13.8,12.94,15.4,3,en114417450.txt,17.1385,50,4
23,18.0,16.08,15.0,15.9,16.7,3,en114417450.txt,17.212,50,5
24,16.9,13.87,14.4,16.16,16.1,3,en114417450.txt,17.4395,50,6
25,19.7,16.08,16.4,16.47,17.5,3,en114417450.txt,19.4797,40,1
26,19.8,15.96,16.5,16.72,17.8,3,en114417450.txt,19.6951,40,2
27,18.9,15.67,16.0,16.23,17.2,3,en114417450.txt,17.9489,40,3
28,12.8,11.55,11.4,11.95,13.1,3,en114417450.txt,12.7943,40,4
29,16.4,13.41,14.2,13.41,15.8,3,en114417450.txt,18.0379,40,5
30,18.4,16.66,16.1,16.1,16.9,3,en114417450.txt,17.5375,40,6
31,17.2,13.47,15.0,16.67,16.2,3,en114417450.txt,17.6259,40,7
32,16.8,14.05,14.1,15.99,16.1,3,en114417450.txt,16.5,40,8
33,19.5,15.73,16.4,16.46,17.3,3,en114417450.txt,19.4275,30,1
34,19.9,16.54,17.3,16.86,17.6,3,en114417450.txt,19.4786,30,2
35,19.0,15.21,16.3,16.7,17.2,3,en114417450.txt,18.7795,30,3
36,19.7,16.25,17.5,16.84,17.9,3,en114417450.txt,18.6067,30,4
37,13.1,11.66,11.5,12.17,13.0,3,en114417450.txt,12.6597,30,5
38,14.8,12.94,13.3,14.31,15.0,3,en114417450.txt,16.2874,30,6
39,15.6,12.65,13.0,14.96,15.2,3,en114417450.txt,16.887,30,7
40,20.3,18.57,16.3,17.27,17.9,3,en114417450.txt,18.7625,30,8
41,16.6,13.52,14.5,16.09,15.6,3,en114417450.txt,16.9302,30,9
42,17.2,14.16,14.4,16.89,16.4,3,en114417450.txt,17.4539,30,10
43,17.6,13.41,15.1,16.12,16.5,3,en114417450.txt,17.1845,30,11
44,19.0,14.8,15.5,16.72,17.0,3,en114417450.txt,19.1973,20,1
45,20.6,17.47,17.2,17.24,18.0,3,en114417450.txt,19.9275,20,2
46,19.4,16.19,17.3,16.99,17.4,3,en114417450.txt,19.3479,20,3
47,20.2,16.02,17.0,17.53,18.2,3,en114417450.txt,20.0514,20,4
48,19.9,15.84,16.7,17.58,17.5,3,en114417450.txt,18.7748,20,5
49,17.7,15.44,15.2,16.07,16.8,3,en114417450.txt,17.1604,20,6
50,12.3,12.13,10.5,11.62,12.7,3,en114417450.txt,11.8164,20,7
51,13.3,11.44,12.1,13.18,13.4,3,en114417450.txt,13.8,20,8
52,15.9,13.41,13.9,15.41,15.7,3,en114417450.txt,17.6889,20,9
53,16.8,13.47,14.5,15.62,15.8,3,en114417450.txt,18.387,20,10
54,17.6,15.03,15.4,16.39,16.6,3,en114417450.txt,17.366,20,11
55,19.4,18.51,16.9,16.77,17.2,3,en114417450.txt,17.8217,20,12
56,16.7,13.58,14.5,15.94,15.5,3,en114417450.txt,16.9685,20,13
57,17.7,13.29,15.5,17.82,16.8,3,en114417450.txt,18.2641,20,14
58,16.3,14.8,14.4,16.0,15.6,3,en114417450.txt,16.494,20,15
59,17.4,13.35,15.1,16.59,16.7,3,en114417450.txt,16.5737,20,16
60,16.8,13.18,14.6,16.02,15.4,3,en114417450.txt,16.5913,20,17
61,19.5,15.55,16.6,18.36,17.6,3,en114417450.txt,20.7367,10,1
62,18.5,14.34,15.7,17.77,16.3,3,en114417450.txt,17.5754,10,2
63,20.5,17.82,16.9,17.62,17.9,3,en114417450.txt,20.0897,10,3
